Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr4	173252417	173252478	Q99081	TCF12	18	62	173252447	0.9972999998867512
chr19	44753475	44753504	Q99081	TCF12	20	58	44753489	0.971699999788776
chr12	124609258	124609310	Q99081	TCF12	17	56	124609284	0.996999999898672
chr2	111705946	111706010	Q99081	TCF12	17	55	111705978	0.9780119997866452
chr2	191020356	191020379	Q99081	TCF12	19	54	191020367	0.9900000001356004
chr7	105012644	105012702	Q99081	TCF12	19	53	105012673	0.984600000064075
chr8	123922245	123922306	Q99081	TCF12	17	50	123922275	0.9861000000149012
chr8	60792970	60793026	Q99081	TCF12	16	49	60792998	0.9927320000350476
chr3	177360018	177360065	Q99081	TCF12	18	48	177360041	0.9581000001560896
chr1	224503652	224503744	Q99081	TCF12	16	48	224503698	0.9762999999284744
chr9	95462791	95462834	Q99081	TCF12	14	48	95462812	0.9849499999903144
chr11	69297431	69297500	Q99081	TCF12	15	48	69297465	0.9963999999046326
chr2	237723828	237723853	Q99081	TCF12	15	47	237723840	0.9753000000193716
chr7	73715865	73715961	Q99081	TCF12	14	47	73715913	0.9628119996383786
chr13	109743834	109743883	Q99081	TCF12	13	46	109743858	0.977000000180304
chr12	132430425	132430494	Q99081	TCF12	15	46	132430459	0.9752899999931456
chr6	129684149	129684192	Q99081	TCF12	15	45	129684170	0.966499999693036
chr7	20220019	20220089	Q99081	TCF12	15	45	20220054	1.0
chr19	13847789	13847826	Q99081	TCF12	16	45	13847807	0.9706440000012516
chr10	103908458	103908485	Q99081	TCF12	15	45	103908471	0.9753000000115484
chr11	65422262	65422319	Q99081	TCF12	16	45	65422290	0.9954999998033048
chr1	198669282	198669321	Q99081	TCF12	14	45	198669301	0.9890999996781348
chr22	19891717	19891745	Q99081	TCF12	18	45	19891731	0.9729999999396504
chr14	22556441	22556530	Q99081	TCF12	12	45	22556485	0.9695999999910592
chr1	203321080	203321147	Q99081	TCF12	12	45	203321113	0.9802999999903144
chr6	157763529	157763590	Q99081	TCF12	12	45	157763559	0.9589999998867512
chr1	160540316	160540357	Q99081	TCF12	12	44	160540336	0.9811000001199544
chr6	135323368	135323428	Q99081	TCF12	12	44	135323398	0.9709999999165536
chr8	143281716	143281754	Q99081	TCF12	15	44	143281735	0.9848000001326204
chr2	8302221	8302258	Q99081	TCF12	13	43	8302239	0.9996999999880792
chr6	148972655	148972696	Q99081	TCF12	15	43	148972675	0.993351999977976
chr16	12613799	12613856	Q99081	TCF12	16	43	12613827	0.9749140001475812
chr9	136109821	136109854	Q99081	TCF12	16	43	136109837	0.9759999998852612
chr2	219279366	219279411	Q99081	TCF12	16	43	219279388	0.9659000000283122
chr1	23554887	23554946	Q99081	TCF12	16	42	23554916	0.9757999999396504
chr21	34908543	34908614	Q99081	TCF12	11	42	34908578	0.9949000000342728
chr6	30717586	30717629	Q99081	TCF12	17	42	30717607	0.9604999998752028
chr15	73697219	73697300	Q99081	TCF12	12	42	73697259	0.9754999999310822
