Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr7	876284	876322	Q99583	MNT	7	30	876303	0.9554999997518956
chr1	6601236	6601286	Q99583	MNT	7	27	6601261	0.9616639998160302
chr12	109713630	109713675	Q99583	MNT	7	27	109713652	0.9873999998733402
chr10	95656798	95656854	Q99583	MNT	7	27	95656826	0.9724000004142522
chr9	94165919	94165966	Q99583	MNT	7	27	94165942	0.975300000014156
chr1	167222434	167222487	Q99583	MNT	7	26	167222460	0.9980999999046326
chr7	155070143	155070180	Q99583	MNT	7	26	155070161	0.9796999999951572
chr19	2783538	2783569	Q99583	MNT	7	26	2783553	0.9636000003665686
chr1	209827972	209828011	Q99583	MNT	7	26	209827991	0.979899999807775
chr11	61567377	61567423	Q99583	MNT	7	26	61567400	1.0
chr6	83065772	83065837	Q99583	MNT	7	26	83065804	0.9774000001005828
chr16	19718139	19718219	Q99583	MNT	7	26	19718179	0.959899999795109
chr20	44210955	44211002	Q99583	MNT	7	26	44210978	0.9829460001975298
chr8	80485518	80485569	Q99583	MNT	7	26	80485543	0.9774999998301268
chr8	9002723	9002812	Q99583	MNT	7	25	9002767	0.9676599997341632
chr15	88621312	88621374	Q99583	MNT	7	25	88621343	0.9724999994292856
chr4	82430568	82430618	Q99583	MNT	7	25	82430593	0.9715999998375774
chr11	64916397	64916446	Q99583	MNT	7	25	64916421	0.9564999991491436
chr17	5468925	5468972	Q99583	MNT	7	25	5468948	0.9756000000581144
chr17	39402673	39402718	Q99583	MNT	7	25	39402695	0.963500000102818
chr8	26382941	26383029	Q99583	MNT	7	25	26382985	0.976600000089407
chr2	117814646	117814713	Q99583	MNT	7	25	117814679	0.9776499998502434
chr12	47759146	47759181	Q99583	MNT	7	25	47759163	0.9879999999761582
chr20	324467	324532	Q99583	MNT	6	25	324499	0.9710000001125038
chr16	89171704	89171741	Q99583	MNT	7	25	89171722	0.9996999999880792
chr18	48538942	48538992	Q99583	MNT	7	25	48538967	0.9890060000747444
chr1	37595902	37595975	Q99583	MNT	7	24	37595938	0.9515999997846782
chr11	66421758	66421811	Q99583	MNT	7	24	66421784	1.0
chr18	62715159	62715212	Q99583	MNT	7	24	62715185	0.9846999999329448
chr11	112074281	112074372	Q99583	MNT	7	24	112074326	0.9558499999456108
chr8	142943793	142943825	Q99583	MNT	6	24	142943809	0.980500000053644
chr3	122793842	122793906	Q99583	MNT	7	24	122793874	0.9899999999597668
chr1	27322188	27322245	Q99583	MNT	7	24	27322216	0.9530999998554588
chr1	155091544	155091589	Q99583	MNT	7	24	155091566	0.9690999999947846
chr15	75204851	75204914	Q99583	MNT	7	24	75204882	0.997699999833107
chr10	45594872	45594931	Q99583	MNT	7	24	45594901	0.9522000000216068
chr6	13615163	13615248	Q99583	MNT	7	24	13615205	0.9504560000240804
chr9	92293793	92293878	Q99583	MNT	7	24	92293835	0.9862999999925496
chr11	108664932	108665016	Q99583	MNT	7	24	108664974	0.9763400001514704
chr4	128288177	128288304	Q99583	MNT	7	24	128288240	0.9911999999642372
chr7	726548	726612	Q99583	MNT	7	24	726580	0.9554499999430032
chr11	58579713	58579765	Q99583	MNT	7	24	58579739	0.9955999999977648
chr11	114439307	114439360	Q99583	MNT	7	24	114439333	0.990400000141561
chr7	151227226	151227331	Q99583	MNT	7	24	151227278	0.9754000000692904
chr17	59565540	59565604	Q99583	MNT	7	24	59565572	0.9580000002756714
chr11	60842062	60842091	Q99583	MNT	7	24	60842076	0.9631440002933144
chr4	2262330	2262369	Q99583	MNT	7	24	2262349	0.988200000013411
chr15	70099675	70099726	Q99583	MNT	7	24	70099700	1.0
chr11	18394398	18394487	Q99583	MNT	7	24	18394442	0.968999999864772
chr12	109098012	109098081	Q99583	MNT	7	24	109098046	0.958167999920249
chr11	119381809	119381866	Q99583	MNT	7	24	119381837	0.9531000000193716
chr11	68004178	68004232	Q99583	MNT	6	23	68004205	0.9674999999716878
chr2	191020362	191020405	Q99583	MNT	7	23	191020383	0.9900000001356004
chr7	73433587	73433680	Q99583	MNT	7	23	73433633	0.9623999997723848
chr19	49151849	49151890	Q99583	MNT	7	23	49151869	0.9747239998742938
chr11	78574780	78574827	Q99583	MNT	7	23	78574803	0.9577000000797212
chr9	127159427	127159454	Q99583	MNT	6	23	127159440	0.996499999946356
chr12	69585556	69585643	Q99583	MNT	7	23	69585599	0.9658999997198582
chr1	156751863	156751924	Q99583	MNT	6	23	156751893	0.9564479998633264
chr17	79294710	79294749	Q99583	MNT	6	23	79294729	0.9837999997630716
chr9	6007132	6007177	Q99583	MNT	7	23	6007154	0.983099999756366
chr1	43969979	43970028	Q99583	MNT	7	23	43970003	0.9987999999523164
chr8	11802577	11802642	Q99583	MNT	7	23	11802609	0.9658000002250076
chr17	34980429	34980471	Q99583	MNT	7	23	34980450	0.9554000001862644
chr5	177390586	177390631	Q99583	MNT	7	23	177390608	0.966200000026077
chr20	20052542	20052597	Q99583	MNT	7	23	20052569	0.9794000000327826
chr9	124771590	124771641	Q99583	MNT	7	23	124771615	0.9730999999672174
chr9	129258619	129258658	Q99583	MNT	7	23	129258638	0.971600000021234
chr12	109093438	109093491	Q99583	MNT	7	23	109093464	0.965700000308454
chr21	45287919	45287994	Q99583	MNT	7	23	45287956	0.9994999998867512
chr19	45076491	45076574	Q99583	MNT	7	23	45076532	0.9531000003017484
chr4	76087254	76087298	Q99583	MNT	6	23	76087276	0.9560000001065432
chr5	154754991	154755082	Q99583	MNT	6	23	154755036	0.969271999971196
chr9	104928256	104928288	Q99583	MNT	6	23	104928272	0.9550000002007932
chr5	94111556	94111611	Q99583	MNT	7	23	94111583	0.9810539996758104
chr4	51844812	51844857	Q99583	MNT	7	23	51844834	1.0
chr20	5950513	5950546	Q99583	MNT	7	23	5950529	0.971499999908358
chr4	47463667	47463714	Q99583	MNT	7	23	47463690	0.9851999999210238
chr9	135972144	135972195	Q99583	MNT	7	23	135972169	0.9516000000048428
chr1	154220677	154220752	Q99583	MNT	7	23	154220714	0.9586999998152256
chr17	18039265	18039324	Q99583	MNT	7	23	18039294	0.9784999999552964
chr4	20700259	20700328	Q99583	MNT	7	23	20700293	0.9874000000692904
chr8	108443517	108443562	Q99583	MNT	7	22	108443539	0.9999000000953674
chr13	29924198	29924249	Q99583	MNT	7	22	29924223	0.9806999999076128
chr17	38675106	38675183	Q99583	MNT	7	22	38675144	0.9537519999105484
chr21	45555856	45555911	Q99583	MNT	7	22	45555883	0.9741000002428888
