Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr3	93470499	93470610	Q9BRP0	OVOL2.hg38	3	8	93470554
chr1	634018	634046	Q9BRP0	OVOL2.hg38	2	6	634032
chr16	34572993	34573120	Q9BRP0	OVOL2.hg38	1	5	34573056
chr4	49657542	49657669	Q9BRP0	OVOL2.hg38	2	5	49657605
chr21	8234417	8234544	Q9BRP0	OVOL2.hg38	1	5	8234480
chr21	8230663	8230759	Q9BRP0	OVOL2.hg38	1	5	8230711
chr16	46387909	46387966	Q9BRP0	OVOL2.hg38	2	5	46387937
chr16	46388609	46388736	Q9BRP0	OVOL2.hg38	2	5	46388672
chr17	25920196	25920220	Q9BRP0	OVOL2.hg38	1	5	25920208
chr16	34581407	34581534	Q9BRP0	OVOL2.hg38	1	4	34581470
chr16	33336701	33336828	Q9BRP0	OVOL2.hg38	1	4	33336764
chr14	91836530	91836657	Q9BRP0	OVOL2.hg38	1	4	91836593
chr2	196799689	196799816	Q9BRP0	OVOL2.hg38	1	4	196799752
chr1	143215860	143215987	Q9BRP0	OVOL2.hg38	1	4	143215923
chr11	33061473	33061600	Q9BRP0	OVOL2.hg38	1	4	33061536
chr1	143246998	143247125	Q9BRP0	OVOL2.hg38	1	4	143247061
chr1	143210860	143210987	Q9BRP0	OVOL2.hg38	1	4	143210923
chr5	141969367	141969494	Q9BRP0	OVOL2.hg38	1	4	141969430
chr8	144509062	144509189	Q9BRP0	OVOL2.hg38	1	4	144509125
chr17	26619963	26620090	Q9BRP0	OVOL2.hg38	1	4	26620026
chr1	143256021	143256148	Q9BRP0	OVOL2.hg38	1	4	143256084
chr19	47600520	47600647	Q9BRP0	OVOL2.hg38	1	4	47600583
chr5	141619147	141619274	Q9BRP0	OVOL2.hg38	1	4	141619210
chr4	49120963	49121090	Q9BRP0	OVOL2.hg38	1	4	49121026
chr7	103344798	103344925	Q9BRP0	OVOL2.hg38	1	4	103344861
chr1	146387491	146387618	Q9BRP0	OVOL2.hg38	1	4	146387554
chr13	17337611	17337738	Q9BRP0	OVOL2.hg38	1	4	17337674
chr13	17345229	17345356	Q9BRP0	OVOL2.hg38	1	4	17345292
chr6	106132918	106133023	Q9BRP0	OVOL2.hg38	2	4	106132970
chr3	75669237	75669364	Q9BRP0	OVOL2.hg38	1	4	75669300
chr13	17644871	17644998	Q9BRP0	OVOL2.hg38	1	4	17644934
chr13	17742823	17742950	Q9BRP0	OVOL2.hg38	1	4	17742886
chr13	18212060	18212187	Q9BRP0	OVOL2.hg38	1	4	18212123
chr1	38873320	38873447	Q9BRP0	OVOL2.hg38	1	4	38873383
chr9	6412942	6413069	Q9BRP0	OVOL2.hg38	1	4	6413005
chr10	988502	988629	Q9BRP0	OVOL2.hg38	1	4	988565
chr3	93470653	93470744	Q9BRP0	OVOL2.hg38	2	4	93470698
chr4	49711485	49711612	Q9BRP0	OVOL2.hg38	1	4	49711548
chr1	26921708	26921835	Q9BRP0	OVOL2.hg38	1	4	26921771
chr16	30335288	30335415	Q9BRP0	OVOL2.hg38	1	4	30335351
chr6	58784863	58784990	Q9BRP0	OVOL2.hg38	1	4	58784926
chr8	140458043	140458170	Q9BRP0	OVOL2.hg38	1	4	140458106
