Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr1	22752679	22752704	P17096	HMGA1.hg38	2	9	22752691
chr13	16689000	16689036	P17096	HMGA1.hg38	2	9	16689018
chr1	143195300	143195357	P17096	HMGA1.hg38	2	9	143195328
chr16	46380829	46380922	P17096	HMGA1.hg38	2	9	46380875
chr13	17990939	17990964	P17096	HMGA1.hg38	2	8	17990951
chr13	17644915	17644944	P17096	HMGA1.hg38	2	8	17644929
chr13	17166854	17166878	P17096	HMGA1.hg38	2	8	17166866
chr2	206192302	206192370	P17096	HMGA1.hg38	2	8	206192336
chr7	32560245	32560286	P17096	HMGA1.hg38	2	8	32560265
chr2	201177083	201177108	P17096	HMGA1.hg38	2	8	201177095
chr4	10775285	10775325	P17096	HMGA1.hg38	2	8	10775305
chr1	15501365	15501430	P17096	HMGA1.hg38	2	8	15501397
chr13	16429082	16429103	P17096	HMGA1.hg38	2	8	16429092
chr13	16370150	16370175	P17096	HMGA1.hg38	2	8	16370162
chr7	5019093	5019130	P17096	HMGA1.hg38	2	8	5019111
chr3	181812156	181812208	P17096	HMGA1.hg38	2	8	181812182
chr5	138713429	138713501	P17096	HMGA1.hg38	2	8	138713465
chr7	58349755	58349780	P17096	HMGA1.hg38	2	8	58349767
chr7	58275851	58275875	P17096	HMGA1.hg38	2	8	58275863
chr4	49121007	49121040	P17096	HMGA1.hg38	2	8	49121023
chr7	58445056	58445081	P17096	HMGA1.hg38	2	8	58445068
chr7	60019543	60019567	P17096	HMGA1.hg38	2	8	60019555
chr7	60310853	60310874	P17096	HMGA1.hg38	2	8	60310863
chr7	60366683	60366715	P17096	HMGA1.hg38	2	8	60366699
chr7	60517872	60517897	P17096	HMGA1.hg38	2	8	60517884
chr20	40233945	40234026	P17096	HMGA1.hg38	2	8	40233985
chr7	69103836	69103933	P17096	HMGA1.hg38	2	8	69103884
chr11	123651096	123651137	P17096	HMGA1.hg38	2	8	123651116
chr21	8219939	8219980	P17096	HMGA1.hg38	2	8	8219959
chr21	8234495	8234523	P17096	HMGA1.hg38	2	8	8234509
chr21	10270250	10270279	P17096	HMGA1.hg38	2	8	10270264
chr7	139808392	139808489	P17096	HMGA1.hg38	2	8	139808440
chr2	191133148	191133180	P17096	HMGA1.hg38	2	8	191133164
chr4	50556127	50556151	P17096	HMGA1.hg38	2	8	50556139
chr4	50206975	50206999	P17096	HMGA1.hg38	2	8	50206987
chr7	149017682	149017739	P17096	HMGA1.hg38	2	8	149017710
chr19	10103623	10103696	P17096	HMGA1.hg38	2	8	10103659
chr19	5780077	5780118	P17096	HMGA1.hg38	2	8	5780097
chr19	2551549	2551617	P17096	HMGA1.hg38	2	8	2551583
chr19	692811	692872	P17096	HMGA1.hg38	2	8	692841
chr5	20147427	20147480	P17096	HMGA1.hg38	2	8	20147453
chr17	78302671	78302696	P17096	HMGA1.hg38	2	8	78302683
chr5	49601539	49601564	P17096	HMGA1.hg38	2	8	49601551
chr5	49666201	49666226	P17096	HMGA1.hg38	2	8	49666213
chr17	49155647	49155736	P17096	HMGA1.hg38	2	8	49155691
chr1	21771414	21771459	P17096	HMGA1.hg38	2	8	21771436
chr4	108806145	108806245	P17096	HMGA1.hg38	2	8	108806195
chr17	26881340	26881361	P17096	HMGA1.hg38	2	8	26881350
chr17	26594887	26594911	P17096	HMGA1.hg38	2	8	26594899
chr17	25920198	25920222	P17096	HMGA1.hg38	2	8	25920210
chr16	65000830	65000930	P17096	HMGA1.hg38	2	8	65000880
chr1	20363023	20363067	P17096	HMGA1.hg38	2	8	20363045
chr16	37750089	37750118	P17096	HMGA1.hg38	2	8	37750103
chr16	34581452	34581481	P17096	HMGA1.hg38	2	8	34581466
chr16	27633336	27633377	P17096	HMGA1.hg38	2	8	27633356
chr2	91534621	91534669	P17096	HMGA1.hg38	2	8	91534645
chr2	104791046	104791111	P17096	HMGA1.hg38	2	8	104791078
chr16	10253849	10253929	P17096	HMGA1.hg38	2	8	10253889
chr15	84926024	84926097	P17096	HMGA1.hg38	2	8	84926060
chr15	57653422	57653487	P17096	HMGA1.hg38	2	8	57653454
chr14	85003949	85004026	P17096	HMGA1.hg38	2	8	85003987
chr14	61106147	61106200	P17096	HMGA1.hg38	2	8	61106173
chr4	50720827	50720852	P17096	HMGA1.hg38	2	8	50720839
chr11	8647057	8647081	P17096	HMGA1.hg38	2	8	8647069
chr12	68558841	68558914	P17096	HMGA1.hg38	2	8	68558877
chr1	240460645	240460741	P17096	HMGA1.hg38	2	8	240460693
chr10	40614773	40614805	P17096	HMGA1.hg38	2	8	40614789
chr3	49079442	49079522	P17096	HMGA1.hg38	2	8	49079482
chr21	35410854	35410902	P17096	HMGA1.hg38	2	8	35410878
chr1	124459362	124459387	P17096	HMGA1.hg38	2	8	124459374
chr10	92224889	92224926	P17096	HMGA1.hg38	2	8	92224907
chr9	763790	763831	P17096	HMGA1.hg38	2	8	763810
chr10	40447305	40447330	P17096	HMGA1.hg38	2	8	40447317
chr1	143231900	143231929	P17096	HMGA1.hg38	2	8	143231914
chr8	104344258	104344306	P17096	HMGA1.hg38	2	8	104344282
chr8	43607304	43607328	P17096	HMGA1.hg38	2	8	43607316
chr10	40892216	40892245	P17096	HMGA1.hg38	2	8	40892230
chr10	41914681	41914706	P17096	HMGA1.hg38	2	8	41914693
chr3	13302769	13302822	P17096	HMGA1.hg38	2	8	13302795
chr3	13596883	13596916	P17096	HMGA1.hg38	2	8	13596899
chr3	19285156	19285209	P17096	HMGA1.hg38	2	8	19285182
chr8	126841614	126841659	P17096	HMGA1.hg38	2	8	126841636
chr10	42070568	42070589	P17096	HMGA1.hg38	2	8	42070578
chr8	85743033	85743058	P17096	HMGA1.hg38	2	8	85743045
chr10	133689413	133689438	P17096	HMGA1.hg38	2	8	133689425
chr8	95508302	95508358	P17096	HMGA1.hg38	2	8	95508330
chr10	3841366	3841446	P17096	HMGA1.hg38	2	8	3841406
chr8	85769603	85769639	P17096	HMGA1.hg38	2	8	85769621
chr7	156834667	156834712	P17096	HMGA1.hg38	2	8	156834689
chr3	134166918	134166939	P17096	HMGA1.hg38	2	8	134166928
chr1	174004046	174004090	P17096	HMGA1.hg38	2	7	174004068
chr6	16111088	16111129	P17096	HMGA1.hg38	2	7	16111108
chr1	152294182	152294223	P17096	HMGA1.hg38	2	7	152294202
chr14	79711420	79711456	P17096	HMGA1.hg38	2	7	79711438
chr16	34583623	34583648	P17096	HMGA1.hg38	2	7	34583635
chr9	6667282	6667319	P17096	HMGA1.hg38	2	7	6667300
chr8	102815157	102815189	P17096	HMGA1.hg38	2	7	102815173
chr6	5939111	5939156	P17096	HMGA1.hg38	2	7	5939133
chr14	91182946	91182979	P17096	HMGA1.hg38	2	7	91182962
chr16	19448694	19448735	P17096	HMGA1.hg38	2	7	19448714
chr9	4875759	4875783	P17096	HMGA1.hg38	2	7	4875771
chr15	79952766	79952875	P17096	HMGA1.hg38	2	7	79952820
chr15	23011417	23011525	P17096	HMGA1.hg38	2	7	23011471
chr5	164501055	164501096	P17096	HMGA1.hg38	2	7	164501075
chr16	18814064	18814124	P17096	HMGA1.hg38	2	7	18814094
chr16	13804108	13804149	P17096	HMGA1.hg38	2	7	13804128
chr5	151870078	151870119	P17096	HMGA1.hg38	2	7	151870098
chr1	36427757	36427825	P17096	HMGA1.hg38	2	7	36427791
chr16	57032511	57032596	P17096	HMGA1.hg38	2	7	57032553
chr16	3560968	3561077	P17096	HMGA1.hg38	2	7	3561022
chr15	96543511	96543552	P17096	HMGA1.hg38	2	7	96543531
chr1	229277045	229277090	P17096	HMGA1.hg38	2	7	229277067
chr15	82095936	82096052	P17096	HMGA1.hg38	2	7	82095994
chr16	6307323	6307379	P17096	HMGA1.hg38	2	7	6307351
chr11	6711413	6711454	P17096	HMGA1.hg38	2	7	6711433
chr16	77957753	77957794	P17096	HMGA1.hg38	2	7	77957773
