Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr15	32899373	32899458	O15178	T	5	20	32899415	0.9923160001814364
chr4	156347121	156347184	O15178	T	4	18	156347152	1.0
chr3	57130948	57131047	O15178	T	4	17	57130997	0.9696000000566244
chr20	6908785	6908848	O15178	T	4	16	6908816	0.984700000089407
chr21	16241773	16241814	O15178	T	5	16	16241793	0.9907999998509884
chr17	48733200	48733285	O15178	T	4	16	48733242	0.975700000283122
chr3	152261521	152261554	O15178	T	5	16	152261537	1.0
chr8	35377433	35377474	O15178	T	5	15	35377453	0.9987000000715256
chr2	44674671	44674748	O15178	T	4	15	44674709	0.9807999999180436
chr4	182560598	182560641	O15178	T	5	15	182560619	0.9933000001311302
chr3	141071103	141071199	O15178	T	5	15	141071151	0.9954999999821186
chr15	89748001	89748098	O15178	T	4	15	89748049	0.9808000000625848
chr2	42046900	42046980	O15178	T	5	15	42046940	0.9896999998554588
chr13	51148425	51148518	O15178	T	5	15	51148471	0.9653999996513128
chr5	161369199	161369256	O15178	T	4	15	161369227	0.9870179999932648
chr18	8662526	8662637	O15178	T	4	14	8662581	0.9763999999891968
chr5	38602827	38602870	O15178	T	4	14	38602848	0.9857000001601874
chr4	112649019	112649099	O15178	T	5	14	112649059	0.9651999999321996
chr2	176192439	176192512	O15178	T	4	14	176192475	0.959360000178218
chr5	89998631	89998747	O15178	T	4	14	89998689	0.9918000000357629
chr15	60120252	60120310	O15178	T	4	14	60120281	0.98760000012815
chr11	120645871	120645908	O15178	T	5	14	120645889	0.9801999999538064
chr4	112650503	112650604	O15178	T	4	14	112650553	0.9809999999836088
chr3	33426241	33426290	O15178	T	5	14	33426265	0.9703999995693564
chr8	90927942	90928031	O15178	T	4	14	90927986	0.9862000000473112
chr8	60676358	60676438	O15178	T	4	14	60676398	0.9827999995782972
chr1	177048885	177048923	O15178	T	5	14	177048904	1.0
chr14	53355797	53355850	O15178	T	5	14	53355823	0.9868000000208615
chr3	191963403	191963452	O15178	T	5	14	191963427	0.977499999794364
chr2	126942579	126942630	O15178	T	4	13	126942604	0.9853999996289612
chr11	62709594	62709668	O15178	T	3	13	62709631	0.9745500000879168
chr5	19880973	19881032	O15178	T	4	13	19881002	0.9985999998629094
chr18	50287839	50287883	O15178	T	3	13	50287861	0.9691000000212342
chr10	118258457	118258558	O15178	T	4	13	118258507	1.0
chr1	68294204	68294293	O15178	T	4	13	68294248	0.9565559996306896
chr10	95464747	95464804	O15178	T	4	13	95464775	0.9551999999541788
chr1	44543369	44543438	O15178	T	5	13	44543403	0.9762000001810492
chr10	63713434	63713493	O15178	T	5	13	63713463	0.9699999996632338
chr9	38214573	38214649	O15178	T	4	13	38214611	0.9702019996605814
chr12	39082022	39082069	O15178	T	4	13	39082045	0.9816999999269844
chr3	26050948	26050973	O15178	T	4	13	26050960	0.9768999997571112
chr8	25509031	25509117	O15178	T	4	13	25509074	0.9880999997839331
chr3	187618870	187618907	O15178	T	5	13	187618888	1.0
chr13	39385754	39385787	O15178	T	4	13	39385770	0.977044000019133
chr6	42418861	42418922	O15178	T	4	13	42418891	0.9628999997019768
chr12	104526517	104526568	O15178	T	5	13	104526542	0.9942000000625848
chr6	10834972	10835076	O15178	T	4	13	10835024	0.9507159997221084
chr13	87128128	87128152	O15178	T	5	13	87128140	0.9930000003159046
chr6	44655479	44655503	O15178	T	4	13	44655491	0.9945000001162292
chr8	3058842	3058897	O15178	T	5	13	3058869	0.9879999998569488
chr22	27453850	27453941	O15178	T	4	13	27453895	0.994499999833107
chr4	151644827	151644892	O15178	T	4	13	151644859	0.9990999999701976
chr20	58753692	58753779	O15178	T	4	13	58753735	0.9795999999806284
chr2	213616339	213616412	O15178	T	4	13	213616375	0.9690999999076128
chr2	43218091	43218144	O15178	T	4	13	43218117	0.9601000001952052
chr10	84465102	84465146	O15178	T	4	13	84465124	0.9682280002355576
chr5	74105492	74105571	O15178	T	4	13	74105531	0.9847000001400708
chr3	197528035	197528112	O15178	T	4	13	197528073	0.9820299998939036
chr11	97856828	97856861	O15178	T	4	13	97856844	0.9851999998956918
chr7	18940784	18940821	O15178	T	4	12	18940802	0.972149999922514
chr6	111764458	111764561	O15178	T	3	12	111764509	0.982199999948591
chr17	71033521	71033573	O15178	T	5	12	71033547	0.975499999954924
chr22	34283943	34284036	O15178	T	4	12	34283989	0.9839999999269844
chr19	29062622	29062658	O15178	T	3	12	29062640	0.9803999999836088
chr9	129557580	129557617	O15178	T	4	12	129557598	0.9691000001396984
chr5	149280497	149280570	O15178	T	4	12	149280533	0.9818560000151396
chr5	126464935	126465008	O15178	T	5	12	126464971	0.9521999999433756
chr10	131049244	131049292	O15178	T	5	12	131049268	0.9933279998637736
chr3	27861277	27861350	O15178	T	4	12	27861313	0.9626999998375774
chr10	75079880	75079925	O15178	T	4	12	75079902	0.966499999718368
chr6	108562814	108562859	O15178	T	4	12	108562836	0.953826000151038
chr5	124980621	124980698	O15178	T	3	12	124980659	0.9701500002019108
chr5	147750336	147750425	O15178	T	4	12	147750380	0.9917000000819564
chr22	28112723	28112770	O15178	T	4	12	28112746	0.996800000077486
chr11	131246260	131246292	O15178	T	3	12	131246276	1.0
chr6	168332214	168332247	O15178	T	4	12	168332230	0.963299999976158
chr2	80008273	80008366	O15178	T	5	12	80008319	0.9856999999955296
chr3	31111993	31112041	O15178	T	4	12	31112017	0.9594000001892448
chr4	18691486	18691562	O15178	T	5	12	18691524	0.975302000027895
chr12	47067923	47067996	O15178	T	4	12	47067959	0.9785999999068676
chr3	32780849	32780922	O15178	T	4	12	32780885	0.950009999831766
chr6	95803137	95803210	O15178	T	4	12	95803173	0.995600000053644
chr1	243732723	243732796	O15178	T	4	12	243732759	0.9993000000596046
chr6	68070096	68070125	O15178	T	4	12	68070110	0.9805000000044704
chr4	103476981	103477022	O15178	T	4	12	103477001	0.997299999898672
chr4	138398588	138398633	O15178	T	4	12	138398610	0.9769999999418856
chr15	96312556	96312625	O15178	T	3	12	96312590	1.0
chr7	82175394	82175467	O15178	T	4	12	82175430	0.998600000023842
chr12	120230710	120230758	O15178	T	5	12	120230734	0.9929999998271464
