Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr14	24161171	24161208	P42224	STAT1.hg38	27	86	24161189
chr2	191020380	191020413	P42224	STAT1.hg38	27	81	191020396
chr15	44728807	44728838	P42224	STAT1.hg38	26	81	44728822
chr3	125125979	125126008	P42224	STAT1.hg38	14	74	125125993
chr16	56989478	56989507	P42224	STAT1.hg38	23	65	56989492
chr22	50539732	50539773	P42224	STAT1.hg38	25	63	50539752
chr3	122564296	122564333	P42224	STAT1.hg38	24	63	122564314
chr3	158644575	158644690	P42224	STAT1.hg38	22	62	158644632
chr19	47515527	47515570	P42224	STAT1.hg38	21	61	47515548
chr3	146544616	146544676	P42224	STAT1.hg38	23	60	146544646
chr3	157174951	157174989	P42224	STAT1.hg38	25	60	157174970
chr11	57566278	57566323	P42224	STAT1.hg38	20	59	57566300
chr1	159077306	159077338	P42224	STAT1.hg38	21	59	159077322
chr2	191014269	191014301	P42224	STAT1.hg38	22	59	191014285
chr17	59786622	59786663	P42224	STAT1.hg38	22	58	59786642
chr5	132490886	132490913	P42224	STAT1.hg38	20	57	132490899
chr1	163321805	163321842	P42224	STAT1.hg38	22	56	163321823
chr1	206612443	206612502	P42224	STAT1.hg38	22	55	206612472
chr15	64387764	64387820	P42224	STAT1.hg38	22	55	64387792
chr2	26758018	26758060	P42224	STAT1.hg38	17	54	26758039
chr6	30489343	30489386	P42224	STAT1.hg38	19	54	30489364
chr13	113296992	113297063	P42224	STAT1.hg38	21	54	113297027
chr17	51153482	51153554	P42224	STAT1.hg38	23	54	51153518
chr4	184474759	184474806	P42224	STAT1.hg38	21	54	184474782
chr17	42388786	42388817	P42224	STAT1.hg38	22	54	42388801
chr1	155193392	155193451	P42224	STAT1.hg38	20	54	155193421
chr15	100596973	100597012	P42224	STAT1.hg38	20	53	100596992
chr21	28885184	28885235	P42224	STAT1.hg38	21	53	28885209
chr1	11790985	11791030	P42224	STAT1.hg38	19	53	11791007
chr12	108628555	108628606	P42224	STAT1.hg38	19	53	108628580
chr12	57905458	57905509	P42224	STAT1.hg38	21	52	57905483
chr11	47408400	47408462	P42224	STAT1.hg38	20	52	47408431
chr20	39050119	39050184	P42224	STAT1.hg38	20	52	39050151
chr8	102806442	102806484	P42224	STAT1.hg38	16	52	102806463
chr12	30695984	30696035	P42224	STAT1.hg38	21	52	30696009
chr22	21982815	21982854	P42224	STAT1.hg38	21	52	21982834
chr11	64997040	64997075	P42224	STAT1.hg38	18	52	64997057
chr1	205122279	205122318	P42224	STAT1.hg38	22	51	205122298
chr20	58651178	58651215	P42224	STAT1.hg38	23	51	58651196
chr11	65421379	65421408	P42224	STAT1.hg38	22	51	65421393
chr8	143547374	143547411	P42224	STAT1.hg38	18	51	143547392
chr1	109910783	109910822	P42224	STAT1.hg38	18	50	109910802
