Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr7	27921140	27921297	P13682	ZNF35	1	5	27921218	0.9889999998301268
chr1	46643411	46643568	P13682	ZNF35	1	5	46643489	0.9789459998816252
chr12	116056441	116056598	P13682	ZNF35	1	5	116056519	0.9822000000149012
chr5	175378466	175378623	P13682	ZNF35	1	5	175378544	0.9708000000555068
chr8	142699809	142699966	P13682	ZNF35	1	5	142699887	0.979900000269711
chr2	171086919	171087076	P13682	ZNF35	1	5	171086997	0.9698320000201464
chr4	3251567	3251724	P13682	ZNF35	1	5	3251645	0.98129999999851
chr15	98837623	98837780	P13682	ZNF35	1	5	98837701	0.9830000000104308
chr22	28979099	28979123	P13682	ZNF35	1	5	28979111	0.9700700000587852
chr6	168024181	168024338	P13682	ZNF35	1	5	168024259	0.9660999996364116
chr6	31546634	31546791	P13682	ZNF35	1	5	31546712	0.9677100001707674
chr5	32432401	32432558	P13682	ZNF35	1	5	32432479	0.9500999997220934
chr3	13000012	13000169	P13682	ZNF35	1	5	13000090	0.9848999998047948
chr1	87718391	87718548	P13682	ZNF35	1	5	87718469	0.980199999918416
chr19	28358563	28358720	P13682	ZNF35	1	5	28358641	0.9824000000461937
chr6	39059720	39059877	P13682	ZNF35	1	5	39059798	0.9864999998807908
chr19	44212312	44212469	P13682	ZNF35	1	5	44212390	0.950699999435991
chr19	44259764	44259921	P13682	ZNF35	1	5	44259842	0.9540999998480082
chr7	42091772	42091929	P13682	ZNF35	1	5	42091850	0.9664000001601876
chr7	114081929	114082086	P13682	ZNF35	1	5	114082007	0.9808660001516342
chr10	77287854	77288011	P13682	ZNF35	1	5	77287932	0.9913000000163912
chr10	121322068	121322225	P13682	ZNF35	1	5	121322146	0.9777999999418856
chr7	99925563	99925720	P13682	ZNF35	1	5	99925641	0.9705000000260772
chr19	18389907	18390028	P13682	ZNF35	1	5	18389967	0.954799999835342
chr3	160739175	160739332	P13682	ZNF35	1	4	160739253	0.9873000000074506
