Chrom	Start	End	hg19_Chromosome	hg19_Start	hg19_End	Peak_Name	Normalized Peak Score	GC Content	Annotation	Distance To Nearest TSS	Gene Symbol	position	mean_mapability	mannwhitneyu_p	ER_pos_median	ER_neg_median	mw_FDR	neg_log2_mw_FDR	log2_FC
chr8	86341039	86341540	chr8	87353268.0	87353769.0	BRCA_100021	1.950293362	0.421157685	Intron	-1448	WWP1	86341289	0.9784000000461937	0.011888993816621752	1.9237308627289376	1.293712999624215	0.03051870379452761	5.034162501157944	0.6300178631047226
chr8	86341604	86342105	chr8	87353833.0	87354334.0	BRCA_100022	21.53665559	0.449101796	Promoter	-883	WWP1	86341854	0.97629999999851	1.778589243294798e-05	3.9070301745366622	2.773919295636645	0.000201615896004038	12.276102989808273	1.133110878900017
chr8	86344127	86344628	chr8	87356356.0	87356857.0	BRCA_100026	10.51216277	0.3473053889999999	Intron	1604	WWP1	86344377	0.9716999995868651	2.9541082700594926e-06	2.647138357307495	1.60323069374753	6.062665813060307e-05	14.009688174202921	1.0439076635599651
chr8	86346088	86346589	chr8	87358317.0	87358818.0	BRCA_100029	2.8519730780000003	0.409181637	Intron	3565	WWP1	86346338	0.9779999996285884	0.0003471671952077547	0.9163113857099071	0.2995925774523548	0.001820545180522338	9.101413740030878	0.6167188082575523
chr8	86355936	86356437	chr8	87368165.0	87368666.0	BRCA_100033	1.51080521	0.359281437	Intron	13413	WWP1	86356186	0.9640999999061228	0.0025256834410620774	1.1710348178699599	0.6334730638396555	0.008761219989700694	6.834652507239591	0.5375617540303044
chr8	86367044	86367545	chr8	87379273.0	87379774.0	BRCA_100038	1.845743783	0.341317365	Intron	-6746	WWP1	86367294	0.9538499996103348	0.000709683960877945	0.9452679297315323	0.2784657490148624	0.003184169896892071	8.29486696923768	0.66680218071667
chr8	86414236	86414737	chr8	87426465.0	87426966.0	BRCA_100050	5.549659632000001	0.377245509	Intron	-2736	WWP1	86414486	0.973679999859631	0.0006247720063538043	2.5778710760555903	0.868650619475791	0.0028792575175572814	8.440087456966644	1.7092204565797993
chr8	86416892	86417393	chr8	87429121.0	87429622.0	BRCA_100051	3.477536409	0.522954092	Promoter	-80	WWP1	86417142	0.9756999999515712	4.137481584469285e-06	2.609483696202915	0.782341252419881	7.51593257229766e-05	13.699688350473965	1.827142443783034
chr8	86469058	86469559	chr8	87481287.0	87481788.0	BRCA_100057	2.09721917	0.429141717	Intron	5605	RMDN1	86469308	0.9876999998629094	2.2472682626539958e-05	1.4997454609749523	0.5705763213834645	0.00023784688014971987	12.037679278033178	0.9291691395914878
chr8	86473384	86473885	chr8	87485613.0	87486114.0	BRCA_100062	1.692174109	0.4610778439999999	3' UTR	1279	RMDN1	86473634	0.9890999998241664	0.002384266746247676	1.1527679152717552	0.632272421912152	0.00836412843253807	6.901569069749996	0.5204954933596031
chr8	86618652	86619153	chr8	87630880.0	87631381.0	BRCA_100086	28.75281709	0.425149701	Intron	-39697	CNGB3	86618902	0.9841999998271466	0.0006247720063538043	3.7204936214509	3.05076687225053	0.0028792575175572814	8.440087456966644	0.66972674920037
chr8	87662504	87663005	chr8	88674732.0	88675233.0	BRCA_100107	10.6070916	0.379241517	Intron	211313	DCAF4L2	87662754	0.997200000023842	6.008163263692632e-05	2.284945760072905	0.677776126549952	0.0004809568446312153	11.0218049301065	1.607169633522953
chr8	92812228	92812729	chr8	93824456.0	93824957.0	BRCA_100368	15.77099389	0.367265469	Intron	-46901	FLJ46284	92812478	0.9939000000938774	3.498120147141659e-06	1.9535504966505275	0.456811813854138	6.758605284965626e-05	13.852914913737655	1.4967386827963896
chr8	94156301	94156802	chr8	95168529.0	95169030.0	BRCA_100535	7.170026924	0.449101796	Intron	5576	CDH17	94156551	0.9925999997794628	0.0037508030190933606	2.593983762155667	1.339294643087155	0.012039374711448302	6.376095724929471	1.254689119068512
chr8	94241279	94241780	chr8	95253507.0	95254008.0	BRCA_100542	1.5202441009999998	0.4331337329999999	Distal	19240	GEM	94241529	0.9750999995622784	0.000709683960877945	1.1557443124349325	0.5237734788484185	0.003184169896892071	8.29486696923768	0.631970833586514
chr8	94242015	94242516	chr8	95254243.0	95254744.0	BRCA_100543	12.99996068	0.508982036	Distal	18504	GEM	94242265	0.9750999995622784	0.0006659707855181716	3.17809828015816	1.843110516711345	0.003026444816727293	8.368160239035976	1.334987763446815
chr8	94943586	94944087	chr8	95955814.0	95956315.0	BRCA_100646	7.020187864	0.3532934129999999	Intron	5529	TP53INP1	94943836	0.9842000000163912	1.5195875808114327e-05	2.3968402554742028	0.9870357120630252	0.00018043836199151754	12.43620628501799	1.4098045434111777
chr8	94944367	94944868	chr8	95956595.0	95957096.0	BRCA_100647	3.221055553	0.53493014	Intron	4748	TP53INP1	94944617	0.9873999999925496	0.0029972089392024896	1.7197156505141602	0.9703639627147964	0.010049232946184825	6.636770804486767	0.7493516877993638
chr8	94945947	94946448	chr8	95958175.0	95958676.0	BRCA_100649	1.113945373	0.351297405	Intron	3168	TP53INP1	94946197	0.9886000000402332	0.00715591932469648	0.7792291702192415	0.2769740753567314	0.020246757303786687	5.626165323572782	0.5022550948625102
chr8	94948289	94948790	chr8	95960517.0	95961018.0	BRCA_100651	15.89557169	0.626746507	Intron	826	TP53INP1	94948539	0.9863999999925496	0.0009125724431212208	3.654130125652665	3.05175612263516	0.0038860896990628715	8.007465082941183	0.6023740030175051
chr8	94951340	94951841	chr8	95963568.0	95964069.0	BRCA_100654	8.741421373	0.4171656689999999	Intron	-2180	TP53INP1	94951590	0.9758999999672174	6.467180962499411e-05	2.19610555924262	0.968146143720686	0.000508054148939542	10.942730110419486	1.227959415521934
chr8	94990414	94990915	chr8	96002642.0	96003143.0	BRCA_100666	1.297944004	0.419161677	Intron	32657	NDUFAF6	94990664	0.9656979999348522	0.004424861064620685	1.00162165994199	0.444604388569001	0.01373455437410799	6.186046087711452	0.5570172713729891
chr8	94991123	94991624	chr8	96003351.0	96003852.0	BRCA_100667	11.59167974	0.379241517	Intron	33366	NDUFAF6	94991373	0.9801999997064472	3.299395559897998e-05	1.5425186574273224	0.1652985165408265	0.00031273257056466824	11.642782898229866	1.377220140886496
chr8	95099740	95100241	chr8	96111968.0	96112469.0	BRCA_100728	5.322734134	0.427145709	Intron	-26809	MIR3150BHG	95099990	0.9540000000603496	0.00011534230103487859	2.2596508007631324	1.119230733402135	0.0007842307808588944	10.316434111169851	1.1404200673609974
chr8	95112505	95113006	chr8	96124733.0	96125234.0	BRCA_100737	39.52197189	0.473053892	Intron	-21048	PLEKHF2	95112755	0.9655999996855856	0.0003963830304271324	4.5504542580785134	3.3440897873803053	0.002017741426320452	8.953042979824806	1.2063644706982082
chr8	95135244	95135745	chr8	96147472.0	96147973.0	BRCA_100755	10.30245082	0.387225549	Intron	1419	PLEKHF2	95135494	0.9889000001259148	0.006443495644089543	2.460525052522585	1.865842000682755	0.01861056663409249	5.747734208114886	0.5946830518398301
chr8	95135863	95136364	chr8	96148091.0	96148592.0	BRCA_100756	5.32767211	0.371257485	Intron	2038	PLEKHF2	95136113	0.9905300000675022	7.486611190318616e-05	2.3892701713031825	1.3992971625092951	0.0005661044515540754	10.786644111233976	0.9899730087938874
chr8	95136893	95137394	chr8	96149121.0	96149622.0	BRCA_100757	6.685113811	0.407185629	Intron	3068	PLEKHF2	95137143	0.9959000000178814	0.001888135321275798	2.5082291243126003	1.80244847690595	0.006933137531982695	7.172275905248701	0.7057806474066504
chr8	95137754	95138255	chr8	96149982.0	96150483.0	BRCA_100758	15.86991973	0.449101796	Intron	3929	PLEKHF2	95138004	0.9952999999940396	0.00354777005538557	2.8188921689259274	2.27580733749844	0.011514777349366541	6.440369674438171	0.5430848314274872
chr8	95140420	95140921	chr8	96152648.0	96153149.0	BRCA_100762	1.6798341769999998	0.393213573	Intron	6595	PLEKHF2	95140670	0.9618499999791384	0.0014015823872763377	1.3404092747268	0.5770716082657945	0.005461671343953547	7.516441782114012	0.7633376664610054
chr8	95142093	95142594	chr8	96154321.0	96154822.0	BRCA_100764	2.8519730780000003	0.44510978	Intron	8268	PLEKHF2	95142343	0.9585999999903142	0.011888993816621752	1.2100512656010851	0.5538391151506175	0.03051870379452761	5.034162501157944	0.6562121504504677
chr8	95143389	95143890	chr8	96155617.0	96156118.0	BRCA_100765	4.344115557	0.399201597	Intron	9564	PLEKHF2	95143639	0.9585999999903142	0.003964342474849511	1.8380979043344974	0.950640808402461	0.012579426772994251	6.312790007668862	0.8874570959320364
chr8	95149643	95150144	chr8	96161871.0	96162372.0	BRCA_100770	1.972866757	0.4171656689999999	Intron	15818	PLEKHF2	95149893	0.9829999999985098	0.009736397563481984	1.0265930491522781	0.361340724316778	0.025963119468897688	5.267392456209091	0.6652523248355001
chr8	95150644	95151145	chr8	96162872.0	96163373.0	BRCA_100771	5.168730861	0.373253493	Intron	16819	PLEKHF2	95150894	1.0	6.008163263692632e-05	1.7653982148614826	0.5515954836859646	0.0004809568446312153	11.0218049301065	1.2138027311755182
chr8	95151203	95151704	chr8	96163431.0	96163932.0	BRCA_100772	5.105193174	0.325349301	Intron	17378	PLEKHF2	95151453	1.0	0.0012416287082043964	1.0609409086442276	0.1825647548160295	0.004962405324583318	7.654744706649732	0.8783761538281981
chr8	95152111	95152612	chr8	96164339.0	96164840.0	BRCA_100773	3.049338973	0.311377246	Intron	18286	PLEKHF2	95152361	1.0	0.0020023846173009186	1.0757880293249191	0.254679937734962	0.007269849520197922	7.103858782788339	0.8211080915899571
chr8	95153099	95153600	chr8	96165327.0	96165828.0	BRCA_100774	2.949188716	0.413173653	Intron	19274	PLEKHF2	95153349	0.9993000000596046	1.1053800493219004e-05	1.4023361922939301	0.2032205791529095	0.00014504613981755003	12.751200478637344	1.1991156131410206
chr8	95153867	95154368	chr8	96166095.0	96166596.0	BRCA_100775	2.197579462	0.327345309	Exon	20042	PLEKHF2	95154117	0.9993000000596046	0.0003963830304271324	0.851049816458296	0.1654538909810622	0.002017741426320452	8.953042979824806	0.6855959254772338
chr8	95154439	95154940	chr8	96166667.0	96167168.0	BRCA_100776	3.997010571	0.4471057879999999	Exon	20614	PLEKHF2	95154689	0.9993000000596046	1.5195875808114327e-05	1.6882176676807175	0.5771875784681725	0.00018043836199151754	12.43620628501799	1.1110300892125449
chr8	95155019	95155520	chr8	96167247.0	96167748.0	BRCA_100777	1.904256587	0.311377246	3' UTR	21194	PLEKHF2	95155269	0.9993000000596046	0.0006247720063538043	0.9878063482743269	0.1818041362688118	0.0028792575175572814	8.440087456966644	0.806002212005515
chr8	95156559	95157060	chr8	96168787.0	96169288.0	BRCA_100778	1.4992753769999998	0.367265469	Distal	22734	PLEKHF2	95156809	0.9667999999314548	0.0031714065586148847	1.070180923930606	0.457561933333233	0.010517962027209638	6.571000996367461	0.6126189905973729
chr8	95157333	95157834	chr8	96169561.0	96170062.0	BRCA_100779	2.629194279	0.367265469	Distal	23508	PLEKHF2	95157583	0.9642999999612568	0.00026539539356900505	1.49005366454093	0.5874887926751725	0.00148008569979051	9.400103571589451	0.9025648718657574
chr8	95157899	95158400	chr8	96170127.0	96170628.0	BRCA_100780	4.262080822	0.4031936129999999	Distal	24074	PLEKHF2	95158149	0.9642999999612568	6.008163263692632e-05	1.4873010350702025	0.5804214147364269	0.0004809568446312153	11.0218049301065	0.9068796203337756
chr8	95159302	95159803	chr8	96171530.0	96172031.0	BRCA_100781	1.848665021	0.44510978	Distal	25477	PLEKHF2	95159552	0.9629999999850988	0.002384266746247676	1.764330410694725	0.9001668895547701	0.00836412843253807	6.901569069749996	0.864163521139955
chr8	95160008	95160509	chr8	96172236.0	96172737.0	BRCA_100782	6.2641914860000005	0.54491018	Distal	26183	PLEKHF2	95160258	0.9582999999910592	0.00028394969220146154	2.2585569878372524	1.0911832809280124	0.0015593922624599652	9.324800403501142	1.16737370690924
chr8	95163742	95164243	chr8	96175970.0	96176471.0	BRCA_100786	3.148301912	0.425149701	Distal	29917	PLEKHF2	95163992	0.9537999997437	0.0015803497226443807	1.5288722995716575	0.807467021241473	0.0060130853154850014	7.377678856586456	0.7214052783301845
chr8	95207784	95208285	chr8	96220012.0	96220513.0	BRCA_100809	37.16093152	0.586826347	Intron	3579	C8orf37-AS1	95208034	0.974500000075996	0.0005859547587779828	3.5390920578705423	1.62483310134356	0.002738632649269353	8.51232852377407	1.9142589565269823
chr8	95208365	95208866	chr8	96220593.0	96221094.0	BRCA_100810	2.042311587	0.5369261479999999	Intron	4160	C8orf37-AS1	95208615	0.974500000075996	0.0029972089392024896	1.3085952301721786	0.5685176654200805	0.010049232946184825	6.636770804486767	0.7400775647520981
chr8	95209160	95209661	chr8	96221388.0	96221889.0	BRCA_100811	2.144852464	0.512974052	Intron	4955	C8orf37-AS1	95209410	0.9694000000163912	0.004672844834109207	0.8857040287258191	0.216025350655877	0.014353575502548524	6.12244603006794	0.6696786780699421
chr8	95210033	95210534	chr8	96222261.0	96222762.0	BRCA_100812	11.95548658	0.463073852	Intron	5828	C8orf37-AS1	95210283	0.9694000000163912	2.7135140089621705e-06	2.06285780964097	0.4233087304167575	5.757983784616824e-05	14.084076748384689	1.6395490792242124
chr8	95211024	95211525	chr8	96223252.0	96223753.0	BRCA_100813	2.203042815	0.4031936129999999	Intron	5099	LINC01298	95211274	0.9694000000163912	5.310532501996413e-06	1.8784969225796226	0.4552927809666285	8.85855509493642e-05	13.462569072198841	1.4232041416129941
chr8	95211543	95212044	chr8	96223771.0	96224272.0	BRCA_100814	9.033223735	0.4171656689999999	Intron	4580	LINC01298	95211793	0.9694000000163912	2.9541082700594926e-06	2.2237990884566323	0.567789101248799	6.062665813060307e-05	14.009688174202921	1.6560099872078333
chr8	95212046	95212547	chr8	96224274.0	96224775.0	BRCA_100815	4.742356872	0.48502994	Intron	4077	LINC01298	95212296	0.9692900000140072	1.2967944611600048e-05	2.102658369516935	0.6493567352251135	0.00016162008464155436	12.595105885591801	1.4533016342918217
chr8	95225449	95225950	chr8	96237677.0	96238178.0	BRCA_100825	4.852361082	0.560878244	Intron	-9326	LINC01298	95225699	0.9940000001430512	0.009736397563481984	2.4696493061814424	1.601261195868445	0.025963119468897688	5.267392456209091	0.8683881103129973
chr8	95270906	95271407	chr8	96283134.0	96283635.0	BRCA_100833	2.179267079	0.4171656689999999	Intron	-1956	C8orf37	95271156	0.959099999931082	0.011314584586201475	1.593147115301555	1.092373823945036	0.029329534058975936	5.091502037743758	0.500773291356519
chr8	95317364	95317865	chr8	96329592.0	96330093.0	BRCA_100838	5.398615108	0.389221557	Intron	-48414	C8orf37	95317614	0.9868000001087784	0.00048255623872756813	0.40201040291526147	-0.21246885283439	0.0023497057190408088	8.73330420202734	0.6144792557496515
chr8	95693208	95693709	chr8	96705436.0	96705937.0	BRCA_100850	13.89812583	0.493013972	Intron	-104936	C8orf37-AS1	95693458	1.0	0.019214429639182743	3.6837273304839373	2.6622483273384	0.04506401249752529	4.471880412984429	1.0214790031455374
chr8	95729771	95730272	chr8	96741999.0	96742500.0	BRCA_100855	23.0550349	0.361277445	Intron	-68373	C8orf37-AS1	95730021	0.9730000000119208	1.9261324311652494e-06	2.9319526413275825	0.0272551767127324	4.701175233243172e-05	14.376619017385435	2.9046974646148502
chr8	95730377	95730878	chr8	96742605.0	96743106.0	BRCA_100856	3.4232890910000005	0.469061876	Intron	-67767	C8orf37-AS1	95730627	0.9730000000119208	8.680105259467573e-06	1.2792414103285232	0.1888808711648185	0.0001225917532383323	12.993850447521796	1.0903605391637048
chr8	96365310	96365811	chr8	97377538.0	97378039.0	BRCA_100912	9.052327306	0.399201597	Distal	21087	LOC102724804	96365560	0.9841999994710088	0.007537997452307862	1.214469108130916	0.3745822273935414	0.02112726955643005	5.564749861306112	0.8398868807373746
chr8	99705710	99706211	chr8	100717938.0	100718439.0	BRCA_101273	5.687236338	0.369261477	Intron	-14907	VPS13B	99705960	0.9969000002264976	1.8518484767014407e-07	2.4541330030848423	0.0847521222668718	1.5305678042064288e-05	15.995573516716238	2.3693808808179706
chr8	99706245	99706746	chr8	100718473.0	100718974.0	BRCA_101274	6.077935442999999	0.3632734529999999	Intron	-14372	VPS13B	99706495	0.9969000002264976	3.887948551571869e-07	1.9282639625303548	0.1599299290896204	2.028538224509248e-05	15.589199986390847	1.7683340334407345
chr8	99859707	99860208	chr8	100871935.0	100872436.0	BRCA_101292	2.575526951	0.437125749	Intron	-8099	VPS13B	99859957	0.9825999999463558	0.0028317827619392735	1.961759897169235	1.4101922076594602	0.009605559210339398	6.701914678423654	0.5515676895097748
chr8	99872212	99872713	chr8	100884440.0	100884941.0	BRCA_101303	2.394270503	0.516966068	Intron	4406	VPS13B	99872462	0.9969000000894068	0.004933345255606051	1.5218171855504683	0.7290117249443965	0.014985767149980943	6.060263249724106	0.7928054606060718
chr8	99872733	99873234	chr8	100884961.0	100885462.0	BRCA_101304	5.622657454	0.421157685	Intron	4927	VPS13B	99872983	0.9969000000894068	0.00026539539356900505	1.8225871792025	0.7190219595156745	0.00148008569979051	9.400103571589451	1.1035652196868253
chr8	99982341	99982842	chr8	100994569.0	100995070.0	BRCA_101337	2.347284393	0.385229541	Intron	-4541	RGS22	99982591	0.9826999998390674	0.011314584586201475	0.865377773843989	0.1848800307261474	0.029329534058975936	5.091502037743758	0.6804977431178416
chr8	100218889	100219390	chr8	101231117.0	101231618.0	BRCA_101361	7.788467674	0.415169661	Intron	6053	SPAG1	100219139	0.964299999833852	2.4280780584586035e-05	2.63453413201675	0.7326658570166444	0.00025103529426046033	11.959822165672579	1.9018682750001055
chr8	100238387	100238888	chr8	101250615.0	101251116.0	BRCA_101370	17.88905845	0.381237525	Intron	-1921	SPAG1	100238637	0.995899999895692	1.1974420868274683e-05	3.3942519285355903	0.4053347999230995	0.00015339703582850487	12.670441774393307	2.9889171286124907
chr8	100310715	100311216	chr8	101322943.0	101323444.0	BRCA_101385	2.506703132	0.3532934129999999	Promoter	-639	RNF19A	100310965	0.975317999766767	0.00017586849041599533	2.700275828193243	2.16128892426892	0.00107987163661877	9.854924453958283	0.5389869039243229
chr8	100462766	100463267	chr8	101474994.0	101475495.0	BRCA_101434	8.789288727	0.469061876	Distal	-53002	RNF19A	100463016	0.9826999999530612	0.00354777005538557	2.5328499327946776	1.594576604212465	0.011514777349366541	6.440369674438171	0.9382733285822127
chr8	100463893	100464394	chr8	101476121.0	101476622.0	BRCA_101436	26.89936715	0.4331337329999999	Distal	-54129	RNF19A	100464143	0.9823999999411404	0.006443495644089543	4.089528552074928	3.521189676462015	0.01861056663409249	5.747734208114886	0.5683388756129126
chr8	100465634	100466135	chr8	101477862.0	101478363.0	BRCA_101438	6.655131012999999	0.5009980039999999	Distal	-55870	RNF19A	100465884	0.9945999999284744	0.002384266746247676	2.57833318146439	1.728231334270315	0.00836412843253807	6.901569069749996	0.8501018471940749
chr8	100468149	100468650	chr8	101480377.0	101480878.0	BRCA_101440	5.32767211	0.449101796	Distal	-58385	RNF19A	100468399	0.9953000001430512	3.235613571239233e-07	2.877613638241195	0.8786620083806724	1.8764451679522928e-05	15.701638340928728	1.9989516298605228
chr8	100471298	100471799	chr8	101483526.0	101484027.0	BRCA_101441	2.051756144	0.3972055889999999	Distal	-61534	RNF19A	100471548	0.9926000002622604	4.462654436416131e-05	1.7286124895359798	1.167397610696208	0.0003882784579867708	11.330620712008885	0.5612148788397717
chr8	100472097	100472598	chr8	101484325.0	101484826.0	BRCA_101442	16.10003011	0.435129741	Distal	60977	ANKRD46	100472347	0.9941000002682208	0.001033063983535126	3.527238407714668	2.5731886042206	0.004287083149287049	7.865787885724894	0.9540498034940681
chr8	100491955	100492456	chr8	101504183.0	101504684.0	BRCA_101457	8.742749703	0.46506986	Intron	41119	ANKRD46	100492205	0.9546000000655652	0.00026539539356900505	2.7752939847314577	1.826181310158445	0.00148008569979051	9.400103571589451	0.9491126745730127
chr8	100807005	100807506	chr8	101819233.0	101819734.0	BRCA_101528	10.74317514	0.48502994	Distal	-84494	PABPC1	100807255	0.9713500000439584	0.011888993816621752	3.3430516873354352	2.753908115081505	0.03051870379452761	5.034162501157944	0.5891435722539304
chr8	101003975	101004476	chr8	102016203.0	102016704.0	BRCA_101590	29.62355491	0.373253493	Distal	-47828	FLJ42969	101004225	0.9605939999774098	0.00715591932469648	3.320863822411665	2.01780232160133	0.020246757303786687	5.626165323572782	1.303061500810335
chr1	145978715	145979216	chr1	145455867.0	145456368.0	BRCA_10173	3.192197904	0.4770459079999999	Distal	14250	POLR3GL	145978965	0.9595000000339	0.002674733951461272	3.256373464955913	2.366261800885145	0.009170865795844762	6.768726343599799	0.8901116640707678
chr1	145979302	145979803	chr1	145455280.0	145455781.0	BRCA_10174	24.72854797	0.489021956	Distal	14663	TXNIP	145979552	0.960300000147149	0.0022501335427904377	5.1609130569235155	4.132515917076811	0.007982808697146933	6.968887846421131	1.0283971398467049
chr8	101515488	101515989	chr8	102527716.0	102528217.0	BRCA_101747	4.295429746	0.481037924	Intron	22981	GRHL2	101515738	0.9719999997388572	0.00024798237275588936	2.2260864083888823	1.1380515791862	0.001405641192377543	9.474555909341447	1.0880348292026822
chr8	101884158	101884659	chr8	102896386.0	102896887.0	BRCA_101834	6.305696059	0.371257485	Intron	90920	NCALD	101884408	0.9934000000178814	0.0025256834410620774	1.3796022894037323	0.1803207577133175	0.008761219989700694	6.834652507239591	1.1992815316904148
chr8	102107361	102107862	chr8	103119589.0	103120090.0	BRCA_101860	3.2115834389999995	0.385229541	Intron	16338	NCALD	102107611	0.9874999997496604	0.001888135321275798	1.6164313387779075	0.5800305671998676	0.006933137531982695	7.172275905248701	1.03640077157804
chr8	102107896	102108397	chr8	103120124.0	103120625.0	BRCA_101861	25.14938791	0.518962076	Intron	15803	NCALD	102108146	0.9874999997496604	1.1974420868274683e-05	4.2413425708280625	2.63550505252404	0.00015339703582850487	12.670441774393307	1.6058375183040225
chr8	102108753	102109254	chr8	103120981.0	103121482.0	BRCA_101862	4.059172244	0.395209581	Intron	14946	NCALD	102109003	0.9874999997496604	0.004424861064620685	1.616683612501435	0.621602292587935	0.01373455437410799	6.186046087711452	0.9950813199135
