Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr17	43367876	43367977	Q9Y5J3	HEY1.hg38	3	16	43367926
chr17	43315939	43315992	Q9Y5J3	HEY1.hg38	3	13	43315965
chr4	185203899	185203963	Q9Y5J3	HEY1.hg38	3	13	185203931
chr1	144412666	144412733	Q9Y5J3	HEY1.hg38	3	13	144412699
chr1	144551751	144551799	Q9Y5J3	HEY1.hg38	3	13	144551775
chr7	32891691	32891731	Q9Y5J3	HEY1.hg38	3	13	32891711
chr1	148522740	148522781	Q9Y5J3	HEY1.hg38	3	13	148522760
chr7	76549354	76549386	Q9Y5J3	HEY1.hg38	3	13	76549370
chr1	143247040	143247093	Q9Y5J3	HEY1.hg38	3	13	143247066
chr10	5446636	5446667	Q9Y5J3	HEY1.hg38	3	12	5446651
chr3	14947375	14947488	Q9Y5J3	HEY1.hg38	3	12	14947431
chr7	5592805	5592890	Q9Y5J3	HEY1.hg38	3	12	5592847
chr13	44436811	44436840	Q9Y5J3	HEY1.hg38	3	12	44436825
chr8	33513485	33513509	Q9Y5J3	HEY1.hg38	3	12	33513497
chr1	43650521	43650566	Q9Y5J3	HEY1.hg38	3	12	43650543
chr19	38647704	38647745	Q9Y5J3	HEY1.hg38	3	12	38647724
chr17	75131648	75131729	Q9Y5J3	HEY1.hg38	3	12	75131688
chr15	75579230	75579267	Q9Y5J3	HEY1.hg38	2	12	75579248
chr22	42615306	42615399	Q9Y5J3	HEY1.hg38	3	12	42615352
chr12	45991960	45992027	Q9Y5J3	HEY1.hg38	3	12	45991993
chr2	37231531	37231580	Q9Y5J3	HEY1.hg38	2	12	37231555
chr15	34038639	34038722	Q9Y5J3	HEY1.hg38	3	12	34038680
chr1	149636840	149636919	Q9Y5J3	HEY1.hg38	3	12	149636879
chr17	58631683	58631792	Q9Y5J3	HEY1.hg38	3	12	58631737
chr10	132537277	132537338	Q9Y5J3	HEY1.hg38	3	12	132537307
chr14	75278839	75278891	Q9Y5J3	HEY1.hg38	3	12	75278865
chr17	43251688	43251723	Q9Y5J3	HEY1.hg38	3	12	43251705
chr11	77637720	77637772	Q9Y5J3	HEY1.hg38	2	12	77637746
chr3	129316236	129316273	Q9Y5J3	HEY1.hg38	3	12	129316254
chr19	3985411	3985442	Q9Y5J3	HEY1.hg38	3	12	3985426
chr8	54101849	54101902	Q9Y5J3	HEY1.hg38	3	12	54101875
chr17	28842643	28842712	Q9Y5J3	HEY1.hg38	2	12	28842677
chr2	203535586	203535622	Q9Y5J3	HEY1.hg38	3	12	203535604
chr19	1876121	1876150	Q9Y5J3	HEY1.hg38	3	12	1876135
chr12	57431120	57431211	Q9Y5J3	HEY1.hg38	3	12	57431165
chr1	153990782	153990811	Q9Y5J3	HEY1.hg38	3	12	153990796
chr7	6104573	6104612	Q9Y5J3	HEY1.hg38	3	12	6104592
chr7	73433604	73433649	Q9Y5J3	HEY1.hg38	2	12	73433626
chr6	98947484	98947528	Q9Y5J3	HEY1.hg38	3	12	98947506
chr2	219245542	219245587	Q9Y5J3	HEY1.hg38	2	12	219245564
chr1	44721680	44721780	Q9Y5J3	HEY1.hg38	3	12	44721730
chr17	81035162	81035215	Q9Y5J3	HEY1.hg38	3	12	81035188
chr15	74760354	74760394	Q9Y5J3	HEY1.hg38	3	12	74760374
chr14	30622332	30622391	Q9Y5J3	HEY1.hg38	3	11	30622361
chr3	93470563	93470614	Q9Y5J3	HEY1.hg38	4	11	93470588
chr17	41528252	41528309	Q9Y5J3	HEY1.hg38	3	11	41528280
chr11	119095408	119095471	Q9Y5J3	HEY1.hg38	3	11	119095439
chr16	4371862	4371893	Q9Y5J3	HEY1.hg38	3	11	4371877
chr19	5690297	5690346	Q9Y5J3	HEY1.hg38	3	11	5690321
chr16	46399385	46399417	Q9Y5J3	HEY1.hg38	3	11	46399401
chr14	45253116	45253163	Q9Y5J3	HEY1.hg38	3	11	45253139
chr20	58889180	58889231	Q9Y5J3	HEY1.hg38	3	11	58889205
chr17	17303213	17303254	Q9Y5J3	HEY1.hg38	2	11	17303233
chr1	8026246	8026301	Q9Y5J3	HEY1.hg38	3	11	8026273
chr16	46386411	46386452	Q9Y5J3	HEY1.hg38	3	11	46386431
chr21	34073603	34073624	Q9Y5J3	HEY1.hg38	3	11	34073613
chr3	99876134	99876182	Q9Y5J3	HEY1.hg38	3	11	99876158
chr1	114511205	114511290	Q9Y5J3	HEY1.hg38	3	11	114511247
chr3	128726212	128726240	Q9Y5J3	HEY1.hg38	3	11	128726226
chr1	181088714	181088753	Q9Y5J3	HEY1.hg38	3	11	181088733
chr9	127451364	127451395	Q9Y5J3	HEY1.hg38	3	11	127451379
chr1	32336186	32336227	Q9Y5J3	HEY1.hg38	3	11	32336206
chr12	96194446	96194510	Q9Y5J3	HEY1.hg38	3	11	96194478
chr8	56074463	56074496	Q9Y5J3	HEY1.hg38	3	11	56074479
chr17	25920185	25920232	Q9Y5J3	HEY1.hg38	3	11	25920208
chr1	231241092	231241140	Q9Y5J3	HEY1.hg38	2	11	231241116
chr5	138338283	138338316	Q9Y5J3	HEY1.hg38	3	11	138338299
chr1	198157031	198157090	Q9Y5J3	HEY1.hg38	3	11	198157060
chr11	69641166	69641215	Q9Y5J3	HEY1.hg38	3	11	69641190
chr12	2812688	2812740	Q9Y5J3	HEY1.hg38	3	11	2812714
chr12	92145794	92145847	Q9Y5J3	HEY1.hg38	3	11	92145820
chr1	145281180	145281260	Q9Y5J3	HEY1.hg38	3	11	145281220
chr17	28744037	28744078	Q9Y5J3	HEY1.hg38	3	11	28744057
chr3	194685905	194685934	Q9Y5J3	HEY1.hg38	3	11	194685919
chr1	212285416	212285456	Q9Y5J3	HEY1.hg38	3	11	212285436
chr14	54488922	54489003	Q9Y5J3	HEY1.hg38	3	11	54488962
chr19	55385937	55385986	Q9Y5J3	HEY1.hg38	3	11	55385961
chr19	55407742	55407799	Q9Y5J3	HEY1.hg38	3	11	55407770
chr12	88035554	88035585	Q9Y5J3	HEY1.hg38	3	11	88035569
chr12	122526895	122526920	Q9Y5J3	HEY1.hg38	3	11	122526907
chr7	23531934	23531974	Q9Y5J3	HEY1.hg38	3	11	23531954
chr9	19380179	19380234	Q9Y5J3	HEY1.hg38	3	11	19380206
chr19	2476139	2476176	Q9Y5J3	HEY1.hg38	3	11	2476157
chr22	17638472	17638523	Q9Y5J3	HEY1.hg38	3	11	17638497
chr17	75154458	75154509	Q9Y5J3	HEY1.hg38	3	11	75154483
chr8	9002905	9002994	Q9Y5J3	HEY1.hg38	3	11	9002949
chr18	49561861	49561886	Q9Y5J3	HEY1.hg38	3	11	49561873
chr2	11746641	11746732	Q9Y5J3	HEY1.hg38	3	11	11746686
chr9	137241289	137241316	Q9Y5J3	HEY1.hg38	3	11	137241302
chr2	8682079	8682110	Q9Y5J3	HEY1.hg38	3	11	8682094
chr13	45341126	45341181	Q9Y5J3	HEY1.hg38	3	11	45341153
chr12	51083540	51083595	Q9Y5J3	HEY1.hg38	3	11	51083567
chr14	90397027	90397052	Q9Y5J3	HEY1.hg38	3	10	90397039
chr3	11643881	11643906	Q9Y5J3	HEY1.hg38	3	10	11643893
chr9	89311219	89311250	Q9Y5J3	HEY1.hg38	3	10	89311234
chr1	27155079	27155108	Q9Y5J3	HEY1.hg38	3	10	27155093
chr10	6202942	6202979	Q9Y5J3	HEY1.hg38	3	10	6202960
chr16	87869419	87869486	Q9Y5J3	HEY1.hg38	3	10	87869452
chr4	38667263	38667324	Q9Y5J3	HEY1.hg38	3	10	38667293
chr14	57268811	57268892	Q9Y5J3	HEY1.hg38	3	10	57268851
