Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr10	74150863	74150902	Q9NQB0	TCF7L2.hg38	18	65	74150882
chr1	153990665	153990688	Q9NQB0	TCF7L2.hg38	19	61	153990676
chr15	52569163	52569193	Q9NQB0	TCF7L2.hg38	18	60	52569178
chr17	38703952	38703997	Q9NQB0	TCF7L2.hg38	17	60	38703974
chr12	124609245	124609295	Q9NQB0	TCF7L2.hg38	18	60	124609270
chr7	151058190	151058220	Q9NQB0	TCF7L2.hg38	19	60	151058205
chr19	7652201	7652228	Q9NQB0	TCF7L2.hg38	18	59	7652214
chr12	89543141	89543169	Q9NQB0	TCF7L2.hg38	18	58	89543155
chr18	48538968	48538997	Q9NQB0	TCF7L2.hg38	18	57	48538982
chr19	41176333	41176360	Q9NQB0	TCF7L2.hg38	17	57	41176346
chr17	39451357	39451392	Q9NQB0	TCF7L2.hg38	18	56	39451374
chr13	113817144	113817167	Q9NQB0	TCF7L2.hg38	18	56	113817155
chr5	39217933	39217960	Q9NQB0	TCF7L2.hg38	18	56	39217946
chr10	118423972	118423997	Q9NQB0	TCF7L2.hg38	17	56	118423984
chr11	73876998	73877044	Q9NQB0	TCF7L2.hg38	18	55	73877021
chr17	81968122	81968149	Q9NQB0	TCF7L2.hg38	16	55	81968135
chr11	64566614	64566668	Q9NQB0	TCF7L2.hg38	16	55	64566641
chr14	35292249	35292278	Q9NQB0	TCF7L2.hg38	18	55	35292263
chr7	92835570	92835593	Q9NQB0	TCF7L2.hg38	18	54	92835581
chr12	31959222	31959273	Q9NQB0	TCF7L2.hg38	17	54	31959247
chr12	71440968	71441001	Q9NQB0	TCF7L2.hg38	16	54	71440984
chr5	149551772	149551833	Q9NQB0	TCF7L2.hg38	15	53	149551802
chr10	99620605	99620630	Q9NQB0	TCF7L2.hg38	17	53	99620617
chr6	125956770	125956805	Q9NQB0	TCF7L2.hg38	15	53	125956787
chr1	150515553	150515600	Q9NQB0	TCF7L2.hg38	17	53	150515576
chr3	101574076	101574108	Q9NQB0	TCF7L2.hg38	17	53	101574092
chr1	156021023	156021056	Q9NQB0	TCF7L2.hg38	17	52	156021039
chr19	11738956	11738996	Q9NQB0	TCF7L2.hg38	15	52	11738976
chr19	41263998	41264033	Q9NQB0	TCF7L2.hg38	18	52	41264015
chr6	83859507	83859540	Q9NQB0	TCF7L2.hg38	17	51	83859523
chr5	115634838	115634865	Q9NQB0	TCF7L2.hg38	18	51	115634851
chr6	37172149	37172192	Q9NQB0	TCF7L2.hg38	17	51	37172170
chr17	65561164	65561205	Q9NQB0	TCF7L2.hg38	18	50	65561184
chr4	145938846	145938887	Q9NQB0	TCF7L2.hg38	17	50	145938866
chr6	29966148	29966175	Q9NQB0	TCF7L2.hg38	16	50	29966161
chr1	222644240	222644281	Q9NQB0	TCF7L2.hg38	18	50	222644260
chr8	37695716	37695747	Q9NQB0	TCF7L2.hg38	14	50	37695731
chr1	204647725	204647754	Q9NQB0	TCF7L2.hg38	16	50	204647739
chr3	64533775	64533800	Q9NQB0	TCF7L2.hg38	18	50	64533787
chr17	81393972	81394022	Q9NQB0	TCF7L2.hg38	15	49	81393997
chr1	16162499	16162534	Q9NQB0	TCF7L2.hg38	15	49	16162516
chr2	170715229	170715270	Q9NQB0	TCF7L2.hg38	16	49	170715249
chr17	57861191	57861224	Q9NQB0	TCF7L2.hg38	15	48	57861207
chr1	226626680	226626707	Q9NQB0	TCF7L2.hg38	16	47	226626693
chr1	150876198	150876247	Q9NQB0	TCF7L2.hg38	14	47	150876222
chr4	6974594	6974623	Q9NQB0	TCF7L2.hg38	16	47	6974608
chr19	40285681	40285712	Q9NQB0	TCF7L2.hg38	15	47	40285696
chr17	40516918	40516945	Q9NQB0	TCF7L2.hg38	15	46	40516931
chr11	10659782	10659813	Q9NQB0	TCF7L2.hg38	14	46	10659797
chr5	74327110	74327143	Q9NQB0	TCF7L2.hg38	15	46	74327126
chr6	12008685	12008721	Q9NQB0	TCF7L2.hg38	14	46	12008703
chr10	75405249	75405283	Q9NQB0	TCF7L2.hg38	13	46	75405266
chr5	80181846	80181873	Q9NQB0	TCF7L2.hg38	15	46	80181859
chr15	62060556	62060602	Q9NQB0	TCF7L2.hg38	15	46	62060579
chr15	92904281	92904308	Q9NQB0	TCF7L2.hg38	16	46	92904294
chr9	33001672	33001729	Q9NQB0	TCF7L2.hg38	17	45	33001700
chr14	32259862	32259888	Q9NQB0	TCF7L2.hg38	15	45	32259875
chr17	58391610	58391675	Q9NQB0	TCF7L2.hg38	12	45	58391642
chr9	5437942	5437993	Q9NQB0	TCF7L2.hg38	16	45	5437967
chr1	23809900	23809929	Q9NQB0	TCF7L2.hg38	17	45	23809914
chr11	44523683	44523712	Q9NQB0	TCF7L2.hg38	15	45	44523697
chr7	92528756	92528807	Q9NQB0	TCF7L2.hg38	17	45	92528781
chr4	3836809	3836902	Q9NQB0	TCF7L2.hg38	15	44	3836855
chr15	58770951	58770992	Q9NQB0	TCF7L2.hg38	16	44	58770971
chr7	104943774	104943805	Q9NQB0	TCF7L2.hg38	14	44	104943789
