Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr3	127075076	127075171	Q02548	PAX5	11	51	127075123	0.9575000001057984
chr3	186653214	186653251	Q02548	PAX5	11	42	186653232	0.980699999685958
chr14	101366037	101366102	Q02548	PAX5	11	42	101366069	0.9831000000484288
chr7	113118642	113118691	Q02548	PAX5	11	41	113118666	0.9662999998658895
chr1	174276282	174276327	Q02548	PAX5	11	41	174276304	0.9807899999417364
chr11	6434411	6434448	Q02548	PAX5	11	40	6434429	0.9764999995365738
chr7	98200530	98200578	Q02548	PAX5	11	40	98200554	0.9779000000625848
chr4	143404682	143404733	Q02548	PAX5	11	40	143404707	0.9885999999053776
chr2	68789772	68789837	Q02548	PAX5	11	40	68789804	0.979399999795854
chr2	237669655	237669694	Q02548	PAX5	11	40	237669674	0.9862000001721084
chr1	206541587	206541639	Q02548	PAX5	11	39	206541613	0.9821000000856815
chr3	31952398	31952461	Q02548	PAX5	10	39	31952429	0.967300000025332
chr2	63976276	63976329	Q02548	PAX5	11	39	63976302	0.9597000000286848
chr5	78294693	78294738	Q02548	PAX5	11	39	78294715	0.9619979999724776
chr2	38607911	38607946	Q02548	PAX5	11	39	38607928	0.9578000001341104
chr10	95295352	95295381	Q02548	PAX5	10	39	95295366	0.9548999998483808
chr1	186082487	186082524	Q02548	PAX5	11	39	186082505	0.9912999999389052
chr1	20213079	20213126	Q02548	PAX5	11	39	20213102	0.9849999997973442
chr10	32942252	32942310	Q02548	PAX5	11	39	32942281	0.9570999999836088
chr7	152341208	152341251	Q02548	PAX5	11	38	152341229	0.9640000001829118
chr8	69556427	69556461	Q02548	PAX5	11	38	69556444	0.9860999998897314
chr16	13390224	13390285	Q02548	PAX5	11	38	13390254	0.9504000000484288
chr19	344941	344998	Q02548	PAX5	11	38	344969	0.95809999999851
chr9	109418975	109419006	Q02548	PAX5	10	38	109418990	0.9900999999582768
chr8	115452281	115452322	Q02548	PAX5	11	38	115452301	0.9707999999552964
chr17	4892731	4892782	Q02548	PAX5	11	38	4892756	0.9662000000312924
chr3	99012216	99012295	Q02548	PAX5	11	38	99012255	0.97539999999851
chr8	127916092	127916149	Q02548	PAX5	11	38	127916120	0.968300000075996
chr2	8545107	8545158	Q02548	PAX5	11	38	8545132	0.999799999910593
chr2	134918157	134918206	Q02548	PAX5	11	37	134918181	0.9594739999480546
chr17	32772631	32772669	Q02548	PAX5	11	37	32772650	0.9704000000461936
chr13	59734522	59734570	Q02548	PAX5	10	37	59734546	0.9893000000596046
chr3	16374862	16374897	Q02548	PAX5	10	37	16374879	0.9901999998927116
chr14	88754057	88754109	Q02548	PAX5	11	37	88754083	0.9851000001579524
chr2	234500558	234500596	Q02548	PAX5	11	37	234500577	0.9826000000014902
chr10	22599233	22599270	Q02548	PAX5	11	37	22599251	0.9763999995917082
chr5	141530010	141530069	Q02548	PAX5	11	37	141530039	0.9854999999970198
chr19	35899881	35899914	Q02548	PAX5	11	37	35899897	0.9649039996892214
chr4	4944167	4944209	Q02548	PAX5	11	37	4944188	0.978741999991238
chr9	6429467	6429506	Q02548	PAX5	11	37	6429486	0.963599999974668
chr14	25132957	25133011	Q02548	PAX5	11	37	25132984	0.9732499996326864
chr7	130898301	130898338	Q02548	PAX5	11	37	130898319	0.983823999851942
chr20	36846159	36846214	Q02548	PAX5	11	37	36846186	0.9568999996371568
chr1	109112798	109112831	Q02548	PAX5	11	37	109112814	0.9640000001583248
chr13	40445689	40445770	Q02548	PAX5	11	37	40445729	0.9824999999254942
chr5	141734638	141734669	Q02548	PAX5	11	37	141734653	0.987549999962002
chr6	2750150	2750182	Q02548	PAX5	11	37	2750166	0.9829000000208616
chr5	6188514	6188542	Q02548	PAX5	11	37	6188528	0.9861000000149012
chr11	132581108	132581151	Q02548	PAX5	11	37	132581129	0.9911999999858438
chr21	42536040	42536071	Q02548	PAX5	11	36	42536055	1.0
chr15	44195338	44195386	Q02548	PAX5	11	36	44195362	0.9707999999284744
chr8	93938722	93938768	Q02548	PAX5	10	36	93938745	0.9550939999088645
chr12	53324876	53324917	Q02548	PAX5	11	36	53324896	0.969321999714896
chr16	71462282	71462329	Q02548	PAX5	11	36	71462305	0.9753420000445098
chr3	45596491	45596524	Q02548	PAX5	10	36	45596507	0.9691000000536442
chr8	27184243	27184300	Q02548	PAX5	11	36	27184271	1.0
chr3	121757299	121757332	Q02548	PAX5	11	36	121757315	0.9895000000342726
chr7	18421675	18421738	Q02548	PAX5	11	36	18421706	0.9996999999880792
chr4	152595685	152595716	Q02548	PAX5	11	36	152595700	0.965599999973178
chr20	3799961	3799994	Q02548	PAX5	10	36	3799977	0.9931999999634922
chr12	113075363	113075432	Q02548	PAX5	11	36	113075397	0.9626000000730156
chr19	42203913	42203951	Q02548	PAX5	10	36	42203932	0.988800000075996
chr17	59001510	59001579	Q02548	PAX5	11	36	59001544	0.9732999999508262
chr2	8313370	8313399	Q02548	PAX5	11	36	8313384	0.9981999999523162
chr3	79651565	79651622	Q02548	PAX5	11	36	79651593	0.9887999999970196
chr3	143207414	143207469	Q02548	PAX5	11	36	143207441	0.9845000000625848
chr11	48109994	48110037	Q02548	PAX5	11	36	48110015	0.9560999997481704
chr7	105769301	105769340	Q02548	PAX5	11	36	105769320	0.9663999999172984
chr1	167357508	167357577	Q02548	PAX5	11	36	167357542	0.9776000000391156
chr2	64730593	64730646	Q02548	PAX5	11	36	64730619	0.9500000000625848
chr1	110350005	110350051	Q02548	PAX5	11	35	110350028	0.9678840005215258
chr2	156750202	156750283	Q02548	PAX5	11	35	156750242	0.9965999999701975
chr8	81002115	81002167	Q02548	PAX5	11	35	81002141	0.9798999999508262
chr5	158398711	158398782	Q02548	PAX5	10	35	158398746	0.982099999819696
chr3	170632921	170632992	Q02548	PAX5	10	35	170632956	0.9846699998497964
chr18	75319977	75320020	Q02548	PAX5	10	35	75319998	0.98990000000149
chr2	134275587	134275664	Q02548	PAX5	10	35	134275625	0.9979000002026558
chr13	41524588	41524638	Q02548	PAX5	11	35	41524613	0.992199999949336
chr18	63523826	63523881	Q02548	PAX5	11	35	63523853	0.9812000002369284
chr2	150610848	150610896	Q02548	PAX5	10	35	150610872	0.9946000000573696
chr3	59246934	59246979	Q02548	PAX5	10	35	59246956	0.9945000000178814
chr3	189324906	189324946	Q02548	PAX5	11	35	189324926	0.9746680000189692
chr1	31866594	31866647	Q02548	PAX5	11	35	31866620	0.9533399996813386
chr15	99755933	99755968	Q02548	PAX5	11	35	99755950	0.9689999999210238
chr20	62628414	62628443	Q02548	PAX5	10	35	62628428	0.9761419999793172
chr4	53748463	53748502	Q02548	PAX5	11	35	53748482	0.9960999998509884
chr1	206725750	206725811	Q02548	PAX5	11	35	206725780	0.9587000000838192
chr20	41673701	41673752	Q02548	PAX5	11	35	41673726	0.9785759998068212
chr9	126411649	126411700	Q02548	PAX5	11	35	126411674	0.9862000001683832
chr15	51625425	51625507	Q02548	PAX5	9	35	51625466	0.9796000000074506
chr1	206951981	206952034	Q02548	PAX5	11	35	206952007	0.9937000000372528
chr10	122487583	122487652	Q02548	PAX5	11	35	122487617	0.9661900000959636
chr5	173737189	173737249	Q02548	PAX5	10	35	173737219	0.9589999996945262
chr1	31550380	31550411	Q02548	PAX5	11	35	31550395	0.9662000000715256
chr4	101790656	101790696	Q02548	PAX5	10	35	101790676	0.9832999999996276
chr1	30754854	30754887	Q02548	PAX5	11	35	30754870	0.9848000000234692
chr10	119369597	119369664	Q02548	PAX5	11	35	119369630	0.9959000000029802
chr5	40570905	40570937	Q02548	PAX5	11	35	40570921	0.979035999891162
chr14	71354314	71354355	Q02548	PAX5	11	35	71354334	0.983199999718368
chr3	23274406	23274453	Q02548	PAX5	11	35	23274429	0.963199999962002
chr1	12486904	12486965	Q02548	PAX5	10	35	12486934	0.9708999999552964
chr3	133583598	133583641	Q02548	PAX5	11	35	133583619	0.9516999999888242
chr16	87058919	87058957	Q02548	PAX5	10	35	87058938	1.0
chr1	198598958	198599027	Q02548	PAX5	10	35	198598992	0.9963999999821186
chr8	100953144	100953196	Q02548	PAX5	11	35	100953170	0.9600999997321517
chr8	6748582	6748665	Q02548	PAX5	11	35	6748623	0.9972000002026558
chr2	165304235	165304274	Q02548	PAX5	11	35	165304254	0.9830000000745058
chr8	103173886	103173917	Q02548	PAX5	11	35	103173901	0.9795000001452864
chr2	62032321	62032368	Q02548	PAX5	11	35	62032344	0.9807000001460314
chr14	70669277	70669338	Q02548	PAX5	10	35	70669307	0.962300000058487
chr4	101807063	101807108	Q02548	PAX5	10	34	101807085	0.9560000000327824
chr9	21711688	21711732	Q02548	PAX5	11	34	21711710	0.9817000002272428
chr20	20603605	20603648	Q02548	PAX5	11	34	20603626	0.9756999999910592
chr14	51844650	51844703	Q02548	PAX5	10	34	51844676	0.9806999998822808
chr15	85584248	85584303	Q02548	PAX5	11	34	85584275	0.99119999987185
chr13	33866118	33866153	Q02548	PAX5	10	34	33866135	0.9745999999932944
chr16	75109141	75109212	Q02548	PAX5	10	34	75109176	1.0
chr10	70880180	70880219	Q02548	PAX5	10	34	70880199	0.980900000116229
chr17	74234122	74234181	Q02548	PAX5	11	34	74234151	0.9532999999538064
chr16	57413534	57413580	Q02548	PAX5	10	34	57413557	0.9529020001590252
chr10	52217069	52217108	Q02548	PAX5	11	34	52217088	0.9740999999996276
chr22	22935749	22935804	Q02548	PAX5	10	34	22935776	0.9859000001341104
chr1	229035577	229035617	Q02548	PAX5	10	34	229035597	0.9988999999463558
chr2	25362861	25362892	Q02548	PAX5	11	34	25362876	0.953900000051409
chr1	76294627	76294678	Q02548	PAX5	10	34	76294652	1.0
chr9	26956211	26956287	Q02548	PAX5	10	34	26956249	0.9610720000222326
chr5	142548168	142548213	Q02548	PAX5	11	34	142548190	0.99085799972713
chr20	51460983	51461058	Q02548	PAX5	9	34	51461020	0.9589999999284744
chr8	17178971	17179019	Q02548	PAX5	11	34	17178995	0.9892000000298024
chr3	149267748	149267790	Q02548	PAX5	10	34	149267769	0.9857460002675652
chr2	15142254	15142289	Q02548	PAX5	10	34	15142271	0.9962999998569488
chr12	113393408	113393454	Q02548	PAX5	10	34	113393431	0.9623999998308718
chr11	16613776	16613821	Q02548	PAX5	10	34	16613798	1.0
chr5	10579032	10579075	Q02548	PAX5	11	34	10579053	0.986699999642372
chr3	136075412	136075455	Q02548	PAX5	10	34	136075433	0.9541999999329448
chr12	62260215	62260246	Q02548	PAX5	11	34	62260230	0.9781000000495464
chr12	47356467	47356512	Q02548	PAX5	10	34	47356489	0.9781999998182058
chr5	178121119	178121204	Q02548	PAX5	11	34	178121161	0.980499999976158
chr12	8611352	8611396	Q02548	PAX5	10	34	8611374	0.9743779999107124
chr6	154815451	154815488	Q02548	PAX5	9	34	154815469	0.9671000000357628
chr10	79448825	79448880	Q02548	PAX5	11	34	79448852	0.9951999999821186
