Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr5	175015084	175015193	Q16534	HLF	1	5	175015138	0.9880999998688698
chr1	39852320	39852429	Q16534	HLF	1	5	39852374	0.9566000003024936
chr7	67739121	67739216	Q16534	HLF	1	5	67739168	0.9626859998807312
chr7	130113986	130114006	Q16534	HLF	1	5	130113996	0.953707999670878
chr6	3592435	3592544	Q16534	HLF	1	5	3592489	0.9890000001579524
chr14	94599224	94599333	Q16534	HLF	1	5	94599278	0.9577999998658896
chr3	188297158	188297241	Q16534	HLF	1	5	188297199	0.996199999845028
chr7	96971028	96971048	Q16534	HLF	1	5	96971038	0.999600000077486
chr6	70967223	70967303	Q16534	HLF	1	5	70967263	0.9752999998882412
chr1	93979878	93979987	Q16534	HLF	1	5	93979932	0.9930999998420476
chr1	8740192	8740243	Q16534	HLF	1	5	8740217	0.9674000003047288
chr10	52353998	52354107	Q16534	HLF	1	5	52354052	0.9990999999642372
chr6	36667121	36667230	Q16534	HLF	1	5	36667175	0.978099999846518
chr12	93663505	93663556	Q16534	HLF	1	5	93663530	0.9810739998817444
chr5	38830617	38830708	Q16534	HLF	1	5	38830662	0.9718999999448658
chr3	27360644	27360660	Q16534	HLF	1	5	27360652	0.9813999998569488
chr11	12903258	12903338	Q16534	HLF	1	5	12903298	0.972700000037998
chr11	19244238	19244334	Q16534	HLF	1	5	19244286	0.9666999996975064
chr14	94635248	94635357	Q16534	HLF	1	5	94635302	0.9597300001993776
chr11	18802773	18802882	Q16534	HLF	1	5	18802827	0.973259999891743
chr11	76793487	76793503	Q16534	HLF	1	5	76793495	0.9578999996766449
chr4	69713729	69713816	Q16534	HLF	1	5	69713772	0.9893999999046326
chr14	91361283	91361383	Q16534	HLF	1	5	91361333	0.9693559996262192
chr9	14920963	14921063	Q16534	HLF	1	5	14921013	0.9724999999597668
chr11	66421707	66421816	Q16534	HLF	1	5	66421761	1.0
chr7	40583806	40583854	Q16534	HLF	1	5	40583830	0.9883000000849366
chr18	3117724	3117833	Q16534	HLF	1	4	3117778	0.9894000001862644
chr3	169966684	169966793	Q16534	HLF	1	4	169966738	0.9984000000178814
chr17	80498274	80498383	Q16534	HLF	1	4	80498328	0.9513000000402332
chr17	81035892	81036003	Q16534	HLF	1	4	81035947	1.0
chr2	147939431	147939540	Q16534	HLF	1	4	147939485	0.9823999998509884
chr18	6315514	6315623	Q16534	HLF	1	4	6315568	0.9955999997735024
chr11	130124237	130124346	Q16534	HLF	1	4	130124291	1.0
chr6	127278239	127278348	Q16534	HLF	1	4	127278293	0.9958000000417232
chr3	161215376	161215485	Q16534	HLF	1	4	161215430	0.9963000000059604
chr8	125663554	125663663	Q16534	HLF	1	4	125663608	0.9598000000245868
chr3	160948319	160948428	Q16534	HLF	1	4	160948373	0.9975000001490116
chr3	160935521	160935630	Q16534	HLF	1	4	160935575	0.957600000050664
chr6	131844298	131844407	Q16534	HLF	1	4	131844352	0.991200000023842
chr11	125345856	125345965	Q16534	HLF	1	4	125345910	0.9845080000258982
chr8	125528923	125529032	Q16534	HLF	1	4	125528977	0.9805000001125038
chr11	120841130	120841239	Q16534	HLF	1	4	120841184	0.9999000000953674
chr8	124772336	124772445	Q16534	HLF	1	4	124772390	0.9699000000625848
chr8	124480031	124480140	Q16534	HLF	1	4	124480085	0.9787560004606844
chr11	124670833	124670942	Q16534	HLF	1	4	124670887	0.9830999999552964
chr18	3771523	3771632	Q16534	HLF	1	4	3771577	0.99469999999851
chr8	125513196	125513305	Q16534	HLF	1	4	125513250	0.984200000075996
chr1	162397103	162397212	Q16534	HLF	1	4	162397157	0.9576119997784496
chr6	127964146	127964255	Q16534	HLF	1	4	127964200	0.961800000115484
chr3	156606847	156606956	Q16534	HLF	1	4	156606901	0.9817999998904764
chr1	163359292	163359401	Q16534	HLF	1	4	163359346	0.9891000002086162
chr11	126206698	126206807	Q16534	HLF	1	4	126206752	0.9846999999821188
chr8	125232965	125233074	Q16534	HLF	1	4	125233019	0.9633999999716878
chr6	131809008	131809117	Q16534	HLF	1	4	131809062	0.9770999997034668
chr8	128197353	128197462	Q16534	HLF	1	4	128197407	0.998499999934435
chr8	127923809	127923918	Q16534	HLF	1	4	127923863	0.968200000332296
chr3	169998809	169998918	Q16534	HLF	1	4	169998863	0.9523000001989304
chr12	14775560	14775669	Q16534	HLF	1	4	14775614	0.984699999950826
chr12	15757974	15758083	Q16534	HLF	1	4	15758028	0.976099999757111
chr3	177824187	177824296	Q16534	HLF	1	4	177824241	0.9536020000293852
chr1	147717207	147717316	Q16534	HLF	1	4	147717261	0.9664999999314546
chr1	147539120	147539229	Q16534	HLF	1	4	147539174	0.9687999999776482
chr12	16493226	16493335	Q16534	HLF	1	4	16493280	0.9994999998927117
chr12	16573706	16573815	Q16534	HLF	1	4	16573760	0.9888300000846386
chr17	68379850	68379959	Q16534	HLF	1	4	68379904	0.973199999960512
chr6	110875935	110876044	Q16534	HLF	1	4	110875989	0.986700000140816
chr6	110432628	110432737	Q16534	HLF	1	4	110432682	0.9719999999836088
chr12	20466113	20466222	Q16534	HLF	1	4	20466167	0.9758000000607222
chr12	22042051	22042160	Q16534	HLF	1	4	22042105	0.9722000001430512
chr1	119633887	119633996	Q16534	HLF	1	4	119633941	0.9975000000357628
chr2	154402287	154402396	Q16534	HLF	1	4	154402341	0.996843999904394
chr3	181260028	181260137	Q16534	HLF	1	4	181260082	0.9809999997925012
chr6	109091747	109091856	Q16534	HLF	1	4	109091801	0.9841999998286366
chr6	108594874	108594983	Q16534	HLF	1	4	108594928	0.989500000153482
chr8	135539196	135539305	Q16534	HLF	1	4	135539250	0.9573999999016524
chr1	117857604	117857713	Q16534	HLF	1	4	117857658	0.9848780001930892
chr8	132489662	132489771	Q16534	HLF	1	4	132489716	0.9848999999627472
chr12	13570469	13570578	Q16534	HLF	1	4	13570523	0.9877999999687076
chr8	131916670	131916779	Q16534	HLF	1	4	131916724	0.98420000000149
chr3	171743483	171743592	Q16534	HLF	1	4	171743537	0.9861999997995794
chr8	128091235	128091344	Q16534	HLF	1	4	128091289	0.9680999998778104
chr8	128185090	128185199	Q16534	HLF	1	4	128185144	0.99069999987334
chr1	156751238	156751347	Q16534	HLF	1	4	156751292	0.9574999999687076
chr6	118899776	118899885	Q16534	HLF	1	4	118899830	0.9944999999910592
chr6	118768088	118768197	Q16534	HLF	1	4	118768142	0.9627999997809528
chr8	128533281	128533390	Q16534	HLF	1	4	128533335	0.9879999997839332
chr1	154698621	154698730	Q16534	HLF	1	4	154698675	0.983699999947846
chr6	117505474	117505583	Q16534	HLF	1	4	117505528	0.9744999999597668
chr1	154548437	154548546	Q16534	HLF	1	4	154548491	0.9803999999575316
chr17	69477714	69477823	Q16534	HLF	1	4	69477768	0.9658000000581144
chr17	74751828	74751937	Q16534	HLF	1	4	74751882	0.9612999998286368
chr8	130206549	130206658	Q16534	HLF	1	4	130206603	1.0
chr12	10175895	10176004	Q16534	HLF	1	4	10175949	0.9599759998958558
chr3	171879046	171879155	Q16534	HLF	1	4	171879100	0.9941999998301267
chr3	172256418	172256527	Q16534	HLF	1	4	172256472	0.9803999998226762
chr17	71633743	71633852	Q16534	HLF	1	4	71633797	0.9917999998569488
chr12	12449759	12449868	Q16534	HLF	1	4	12449813	0.96899999977611
chr6	113634285	113634394	Q16534	HLF	1	4	113634339	0.9875000001609324
chr3	156553853	156553962	Q16534	HLF	1	4	156553907	0.9939999996244908
chr11	32142031	32142140	Q16534	HLF	1	4	32142085	0.9636000001601874
chr18	6406428	6406537	Q16534	HLF	1	4	6406482	0.9890000000655652
chr18	27136249	27136358	Q16534	HLF	1	4	27136303	0.9772659999851138
chr6	144866990	144867099	Q16534	HLF	1	4	144867044	0.963999999833852
chr3	138382099	138382208	Q16534	HLF	1	4	138382153	0.9550000000990928
chr1	178023494	178023603	Q16534	HLF	1	4	178023548	0.9715900001905858
chr1	177780281	177780390	Q16534	HLF	1	4	177780335	0.9729999998107552
chr11	90326926	90327035	Q16534	HLF	1	4	90326980	0.97889999980554
chr1	176949155	176949264	Q16534	HLF	1	4	176949209	0.997499999988079
chr18	32378799	32378908	Q16534	HLF	1	4	32378853	0.9610999997656792
chr11	93905466	93905575	Q16534	HLF	1	4	93905520	0.9520999998580664
chr11	94549309	94549418	Q16534	HLF	1	4	94549363	0.9649000002931803
chr11	95282476	95282585	Q16534	HLF	1	4	95282530	0.9714999999046324
chr11	95836141	95836250	Q16534	HLF	1	4	95836195	1.0
chr20	57130393	57130502	Q16534	HLF	1	4	57130447	0.9964000000208616
chr8	117650488	117650597	Q16534	HLF	1	4	117650542	0.9985000001609324
chr11	96220454	96220563	Q16534	HLF	1	4	96220508	0.9939000000342728
chr1	174942935	174943044	Q16534	HLF	1	4	174942989	0.9549939999483524
chr11	96255217	96255326	Q16534	HLF	1	4	96255271	0.966199999947846
chr18	31203516	31203625	Q16534	HLF	1	4	31203570	0.9934999998569488
chr18	34913869	34913978	Q16534	HLF	1	4	34913923	0.9874960002347828
chr3	135519040	135519149	Q16534	HLF	1	4	135519094	0.9738299997597932
chr3	134244518	134244627	Q16534	HLF	1	4	134244572	0.975799999943003
chr11	76771094	76771203	Q16534	HLF	1	4	76771148	0.9944019999027252
chr11	74462150	74462259	Q16534	HLF	1	4	74462204	0.9708000004030763
chr18	48184274	48184383	Q16534	HLF	1	4	48184328	0.978299999921024
chr6	152863975	152864084	Q16534	HLF	1	4	152864029	0.990200000023842
chr18	48152702	48152811	Q16534	HLF	1	4	48152756	0.953587999727577
chr3	129424410	129424519	Q16534	HLF	1	4	129424464	0.9594999999798834
chr11	75674058	75674167	Q16534	HLF	1	4	75674112	0.9729999999467284
chr3	130821096	130821205	Q16534	HLF	1	4	130821150	0.9799000000715256
chr20	59422054	59422163	Q16534	HLF	1	4	59422108	1.0
chr1	178514922	178515031	Q16534	HLF	1	4	178514976	0.9948000000894068
chr6	149319141	149319250	Q16534	HLF	1	4	149319195	0.9990000000655652
chr6	149137721	149137830	Q16534	HLF	1	4	149137775	0.9878999999418856
chr11	78574792	78574901	Q16534	HLF	1	4	78574846	0.9577000000797212
chr11	78575202	78575311	Q16534	HLF	1	4	78575256	0.96440000000149
chr6	149029035	149029144	Q16534	HLF	1	4	149029089	0.9676999997384846
chr6	147736085	147736194	Q16534	HLF	1	4	147736139	0.9882000001341104
chr6	147131924	147132033	Q16534	HLF	1	4	147131978	0.9945999999910592
chr11	99257281	99257390	Q16534	HLF	1	4	99257335	0.996199999833107
chr1	174115016	174115125	Q16534	HLF	1	4	174115070	0.975700000140816
chr3	155672456	155672565	Q16534	HLF	1	4	155672510	0.9801000002302228
chr11	101760149	101760258	Q16534	HLF	1	4	101760203	0.9869999999642372
chr11	111934036	111934145	Q16534	HLF	1	4	111934090	0.9636399998046458
chr11	112166689	112166798	Q16534	HLF	1	4	112166743	0.9937100000977516
chr1	168919035	168919144	Q16534	HLF	1	4	168919089	0.9993000000596046
chr11	112365118	112365227	Q16534	HLF	1	4	112365172	0.9977999999821188
chr18	10024448	10024557	Q16534	HLF	1	4	10024502	0.9911999999776484
chr2	143034366	143034475	Q16534	HLF	1	4	143034420	0.9743500000458212
chr6	134250237	134250346	Q16534	HLF	1	4	134250291	0.959900000166148
chr11	116792684	116792793	Q16534	HLF	1	4	116792738	0.9831720000997186
chr3	152328950	152329059	Q16534	HLF	1	4	152329004	0.975399999780208
chr1	167905340	167905449	Q16534	HLF	1	4	167905394	0.9507999998595564
chr18	9215304	9215413	Q16534	HLF	1	4	9215358	0.991499999885261
chr12	24761570	24761679	Q16534	HLF	1	4	24761624	0.9834000000670552
chr1	167532614	167532723	Q16534	HLF	1	4	167532668	0.9533999996230006
chr20	52279827	52279936	Q16534	HLF	1	4	52279881	0.9869999998524784
chr20	52251544	52251653	Q16534	HLF	1	4	52251598	0.972200000031665
chr11	118341826	118341935	Q16534	HLF	1	4	118341880	0.9585999999500812
chr11	118605592	118605701	Q16534	HLF	1	4	118605646	0.978199999835342
chr3	150371957	150372066	Q16534	HLF	1	4	150372011	0.9574939999312162
chr11	111336757	111336866	Q16534	HLF	1	4	111336811	0.998600000077486
chr18	12838198	12838307	Q16534	HLF	1	4	12838252	0.9689999997980892
chr3	148631608	148631717	Q16534	HLF	1	4	148631662	0.973599999898672
chr1	173527247	173527356	Q16534	HLF	1	4	173527301	0.9805999999925494
chr6	141026695	141026804	Q16534	HLF	1	4	141026749	0.9900399999327958
chr2	138707558	138707667	Q16534	HLF	1	4	138707612	0.9754999999687076
chr8	119615404	119615513	Q16534	HLF	1	4	119615458	0.9755999998658896
chr6	139309041	139309150	Q16534	HLF	1	4	139309095	0.9773999999441206
chr1	172360586	172360695	Q16534	HLF	1	4	172360640	0.9914999998912216
chr11	106014152	106014261	Q16534	HLF	1	4	106014206	0.9915999999284744
chr3	148718074	148718183	Q16534	HLF	1	4	148718128	1.0
chr2	142286720	142286829	Q16534	HLF	1	4	142286774	0.9619000000029804
chr8	120113609	120113718	Q16534	HLF	1	4	120113663	0.963999999891594
chr8	120508754	120508863	Q16534	HLF	1	4	120508808	0.9860000000461936
chr11	106716348	106716457	Q16534	HLF	1	4	106716402	0.9755999999701976
chr18	21903801	21903910	Q16534	HLF	1	4	21903855	0.9643000000856816
chr3	149373820	149373929	Q16534	HLF	1	4	149373874	0.9975999999284744
chr18	13879668	13879777	Q16534	HLF	1	4	13879722	0.9900999998256564
chr2	142131551	142131660	Q16534	HLF	1	4	142131605	0.987700000081584
chr1	167556037	167556146	Q16534	HLF	1	4	167556091	0.9693999997518956
chr12	26274748	26274857	Q16534	HLF	1	4	26274802	0.9915999998927116
chr1	117605251	117605360	Q16534	HLF	1	4	117605305	0.9996999999880792
chr12	94152833	94152942	Q16534	HLF	1	4	94152887	0.9962999999284744
chr6	44825399	44825508	Q16534	HLF	1	4	44825453	0.973699999973178
chr4	24557128	24557237	Q16534	HLF	1	4	24557182	0.9679999999716878
chr9	30198039	30198148	Q16534	HLF	1	4	30198093	0.996799999910593
chr4	24971413	24971522	Q16534	HLF	1	4	24971467	0.9896379997491836
chr12	97149020	97149129	Q16534	HLF	1	4	97149074	0.9884000002652408
chr9	32350390	32350499	Q16534	HLF	1	4	32350444	0.9605999998822808
chr9	32552594	32552703	Q16534	HLF	1	4	32552648	0.9557899998500944
chr1	92505255	92505364	Q16534	HLF	1	4	92505309	0.9505999999441208
chr17	2174789	2174898	Q16534	HLF	1	4	2174843	0.996399999976158
chr17	1715573	1715672	Q16534	HLF	1	4	1715622	0.974939999845624
chr12	101696827	101696936	Q16534	HLF	1	4	101696881	0.9645000003136694
chr16	88701096	88701205	Q16534	HLF	1	4	88701150	0.9962000000119208
chr16	88537360	88537469	Q16534	HLF	1	4	88537414	0.9927999999880792
chr6	39303334	39303443	Q16534	HLF	1	4	39303388	0.9677760003097357
chr4	37528385	37528494	Q16534	HLF	1	4	37528439	0.9583000000122934
chr4	37642065	37642174	Q16534	HLF	1	4	37642119	0.9774999999262391
chr1	90959735	90959844	Q16534	HLF	1	4	90959789	0.999399999976158
chr17	8152373	8152482	Q16534	HLF	1	4	8152427	0.9787039999872446
chr17	10697564	10697673	Q16534	HLF	1	4	10697618	0.9586999998942016
chr1	117544894	117545003	Q16534	HLF	1	4	117544948	0.9707000000402332
chr17	12025931	12026040	Q16534	HLF	1	4	12025985	0.9983000000834464
chr4	8057119	8057228	Q16534	HLF	1	4	8057173	0.952199999690056
chr6	54010501	54010610	Q16534	HLF	1	4	54010555	0.983300000102818
chr17	27532460	27532569	Q16534	HLF	1	4	27532514	0.9686120001927018
chr4	8440318	8440427	Q16534	HLF	1	4	8440372	0.9595380000069738
chr12	77943625	77943734	Q16534	HLF	1	4	77943679	0.9823000000491738
chr1	96843307	96843416	Q16534	HLF	1	4	96843361	0.9577499998934568
chr17	19006093	19006202	Q16534	HLF	1	4	19006147	0.9826999998517334
chr4	15552202	15552311	Q16534	HLF	1	4	15552256	0.9874999999403954
chr4	16030071	16030180	Q16534	HLF	1	4	16030125	0.9869000001057984
chr4	16205738	16205847	Q16534	HLF	1	4	16205792	0.9998000001907348
chr17	14362416	14362525	Q16534	HLF	1	4	14362470	0.9693000002741814
chr9	21814050	21814159	Q16534	HLF	1	4	21814104	0.9821999999791384
chr17	13476848	13476957	Q16534	HLF	1	4	13476902	0.9962000003159046
chr2	168180505	168180614	Q16534	HLF	1	4	168180559	0.9782000000439584
chr1	94541206	94541315	Q16534	HLF	1	4	94541260	0.9956180000543594
chr17	13421072	13421181	Q16534	HLF	1	4	13421126	0.9800999999061228
chr6	47135979	47136088	Q16534	HLF	1	4	47136033	0.980400000088662
chr16	85137624	85137733	Q16534	HLF	1	4	85137678	0.9712999998852612
chr1	90403215	90403324	Q16534	HLF	1	4	90403269	0.9855999999925494
chr4	38491134	38491243	Q16534	HLF	1	4	38491188	0.9708000000111758
chr4	38601430	38601539	Q16534	HLF	1	4	38601484	0.9797999999992548
chr1	84507095	84507204	Q16534	HLF	1	4	84507149	0.9687059999004006
chr12	124821832	124821941	Q16534	HLF	1	4	124821886	0.9656999996595084
chr6	26350663	26350772	Q16534	HLF	1	4	26350717	0.9769999998241664
chr12	125981698	125981807	Q16534	HLF	1	4	125981752	0.9696999997131528
chr4	57430745	57430854	Q16534	HLF	1	4	57430799	0.9742000001132488
chr16	72017281	72017390	Q16534	HLF	1	4	72017335	0.9707999999463558
chr6	25174007	25174116	Q16534	HLF	1	4	25174061	0.9768999999456108
chr1	78333526	78333635	Q16534	HLF	1	4	78333580	0.951699999846518
chr13	21609327	21609436	Q16534	HLF	1	4	21609381	0.9831999999657274
