Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr9	130958815	130958830	P85037	FOXK1	2	8	130958822	0.9767000003010036
chr14	100526888	100526911	P85037	FOXK1	2	8	100526899	0.9927999999687076
chr2	1152439	1152460	P85037	FOXK1	2	8	1152449	0.9632520000193268
chr10	670296	670403	P85037	FOXK1	2	8	670349	0.952900000372529
chr7	154837278	154837325	P85037	FOXK1	2	8	154837301	0.9773999999195336
chr7	566463	566484	P85037	FOXK1	2	8	566473	0.9969999998807908
chr2	89821800	89821823	P85037	FOXK1	2	8	89821811	0.9673579998627304
chr9	95557179	95557200	P85037	FOXK1	2	8	95557189	0.9972999998748302
chr17	21890813	21890827	P85037	FOXK1	2	8	21890820	0.976200000052154
chr12	132335428	132335449	P85037	FOXK1	2	8	132335438	0.9750000001654028
chr1	6033293	6033355	P85037	FOXK1	2	8	6033324	0.9566000000961123
chr12	104488507	104488606	P85037	FOXK1	2	8	104488556	0.9599999999489636
chr9	135967924	135967945	P85037	FOXK1	3	8	135967934	0.9749080000326036
chr7	134887728	134887758	P85037	FOXK1	2	8	134887743	0.9742000000074506
chr1	226778817	226778832	P85037	FOXK1	3	8	226778824	0.973599999652058
chr19	3666585	3666692	P85037	FOXK1	2	8	3666638	0.981800000052154
chr1	226649494	226649528	P85037	FOXK1	2	8	226649511	1.0
chr2	240367066	240367129	P85037	FOXK1	2	8	240367097	0.9974999997437
chr6	130684335	130684365	P85037	FOXK1	2	8	130684350	0.9786000001564622
chr12	115178032	115178126	P85037	FOXK1	2	8	115178079	0.9802999999031424
chr11	133354241	133354252	P85037	FOXK1	2	8	133354246	0.9944999999545514
chr17	80498029	80498063	P85037	FOXK1	2	8	80498046	0.9531000000879168
chr2	8398295	8398346	P85037	FOXK1	2	8	8398320	0.9917999999940396
chr1	151399479	151399500	P85037	FOXK1	3	8	151399489	0.9513739997763186
chr10	71420478	71420504	P85037	FOXK1	2	8	71420491	0.9819000001095236
chr6	117309227	117309330	P85037	FOXK1	2	8	117309278	0.9857000000029802
chr3	14651651	14651672	P85037	FOXK1	3	8	14651661	0.9743000000879168
chr2	109433019	109433118	P85037	FOXK1	2	8	109433068	0.9959000002264976
chr17	41652054	41652075	P85037	FOXK1	2	8	41652064	0.9766739998102189
chr20	44404879	44404914	P85037	FOXK1	2	8	44404896	0.9947760001018644
chr11	68964042	68964057	P85037	FOXK1	2	8	68964049	0.9501999998606742
chr16	75234125	75234146	P85037	FOXK1	3	8	75234135	0.9719000000305472
chr1	150555779	150555881	P85037	FOXK1	2	8	150555830	0.9849999999076128
chr5	178790874	178790921	P85037	FOXK1	2	8	178790897	0.9553000003173948
chr8	143607589	143607671	P85037	FOXK1	2	8	143607630	0.9760999999210238
chr20	36093145	36093166	P85037	FOXK1	2	8	36093155	0.9526999996840954
chr16	914642	914665	P85037	FOXK1	2	8	914653	0.9869999999985098
chr16	73070684	73070705	P85037	FOXK1	3	8	73070694	0.9857999996632336
chr5	13598566	13598589	P85037	FOXK1	2	8	13598577	0.9901000000089408
chr10	197049	197070	P85037	FOXK1	2	8	197059	0.9945000000387432
chr11	38247135	38247162	P85037	FOXK1	2	8	38247148	0.9840000002019108
chr22	19823761	19823824	P85037	FOXK1	2	8	19823792	0.9910999998569489
chr10	2245778	2245844	P85037	FOXK1	2	8	2245811	0.9939999998643996
chr11	134565554	134565569	P85037	FOXK1	2	8	134565561	0.9850999999679624
chr1	1222980	1223001	P85037	FOXK1	2	8	1222990	0.9817999999910592
chr21	45332563	45332618	P85037	FOXK1	2	8	45332590	0.9951999998569488
chr1	1259111	1259132	P85037	FOXK1	2	8	1259121	0.9581000000044704
chr6	1069144	1069226	P85037	FOXK1	2	8	1069185	0.9913000004321336
chr22	29211484	29211505	P85037	FOXK1	2	7	29211494	0.973500000082329
chr4	124470530	124470551	P85037	FOXK1	2	7	124470540	0.9630999996036292
chr1	209529480	209529501	P85037	FOXK1	2	7	209529490	0.9990999999642372
chr15	66932741	66932762	P85037	FOXK1	2	7	66932751	0.9882999998055398
chr14	103133043	103133064	P85037	FOXK1	2	7	103133053	0.9954000001192091
chr17	81249416	81249437	P85037	FOXK1	2	7	81249426	0.9734000000230968
chr10	24967790	24967876	P85037	FOXK1	2	7	24967833	0.9610999998796732
chr1	1306833	1306854	P85037	FOXK1	2	7	1306843	0.995199999910593
chr13	112045104	112045125	P85037	FOXK1	2	7	112045114	0.9994999998927117
chr1	114758120	114758141	P85037	FOXK1	3	7	114758130	0.9570999999091028
chr8	141839661	141839682	P85037	FOXK1	2	7	141839671	0.9701999999940396
chr22	19717818	19717839	P85037	FOXK1	2	7	19717828	0.9993000000655652
chr5	4114741	4114762	P85037	FOXK1	2	7	4114751	0.9815000000581146
chr13	110385909	110385930	P85037	FOXK1	2	7	110385919	0.9639000002495944
chr3	126978427	126978448	P85037	FOXK1	2	7	126978437	0.9925999999687076
chr8	48626240	48626303	P85037	FOXK1	2	7	48626271	0.9644999998167156
chr11	36309964	36309985	P85037	FOXK1	2	7	36309974	0.9854999998837708
chr5	167427840	167427854	P85037	FOXK1	2	7	167427847	0.968799999846518
chr19	29104782	29104803	P85037	FOXK1	2	7	29104792	0.985800000180304
chr1	230111185	230111204	P85037	FOXK1	2	7	230111194	0.9821000002738088
chr1	210653879	210653969	P85037	FOXK1	2	7	210653924	0.982220000077784
chr7	54201688	54201709	P85037	FOXK1	2	7	54201698	0.9966000001102686
chr16	86394105	86394126	P85037	FOXK1	2	7	86394115	0.9791000000059604
chr13	112962209	112962230	P85037	FOXK1	2	7	112962219	1.0
chr8	121201313	121201334	P85037	FOXK1	3	7	121201323	0.959899999961257
chr16	5500215	5500226	P85037	FOXK1	2	7	5500220	0.9739000003743916
chr17	79827386	79827407	P85037	FOXK1	2	7	79827396	0.9558619997665286
chr14	99007929	99007950	P85037	FOXK1	2	7	99007939	0.9840999998852612
chr9	134762973	134762994	P85037	FOXK1	2	7	134762983	0.999200000154972
chr18	4510923	4510937	P85037	FOXK1	2	7	4510930	0.983199999910593
chr10	49034220	49034241	P85037	FOXK1	2	7	49034230	0.9990999999701976
chr12	52203159	52203180	P85037	FOXK1	2	7	52203169	0.9947999997913838
chr11	71393478	71393499	P85037	FOXK1	2	7	71393488	0.9761000000298024
chr9	88948410	88948431	P85037	FOXK1	2	7	88948420	0.9813999996721744
chr2	202111737	202111758	P85037	FOXK1	2	7	202111747	0.9799000000149012
chr11	120328718	120328739	P85037	FOXK1	2	7	120328728	0.9549999998398124
chr7	44433482	44433503	P85037	FOXK1	2	7	44433492	0.9755000002667308
chr9	130955191	130955217	P85037	FOXK1	2	7	130955204	0.9599000001385808
chr7	55410900	55410938	P85037	FOXK1	2	7	55410919	0.970699999897182
chr13	111358189	111358210	P85037	FOXK1	2	7	111358199	0.9754999999046324
chr1	25529380	25529401	P85037	FOXK1	2	7	25529390	0.974499999732524
chr2	240872385	240872400	P85037	FOXK1	2	7	240872392	0.996000000166893
chr11	67649797	67649818	P85037	FOXK1	2	7	67649807	0.9740999997101724
chr21	46091230	46091251	P85037	FOXK1	2	7	46091240	0.9770000000059604
chr7	206514	206528	P85037	FOXK1	2	7	206521	0.9547999999597668
chr21	46156158	46156244	P85037	FOXK1	2	7	46156201	0.9738000000670552
