Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr18	23629565	23629600	P43699	NKX2-1	6	24	23629582	0.9594999994527548
chr1	218674427	218674474	P43699	NKX2-1	6	24	218674450	0.9809999996926636
chr2	209474063	209474092	P43699	NKX2-1	6	24	209474077	0.999600000077486
chr14	38171361	38171410	P43699	NKX2-1	6	23	38171385	0.9742999999649824
chr3	157122180	157122215	P43699	NKX2-1	6	23	157122197	0.9843000000432134
chr3	29335594	29335626	P43699	NKX2-1	6	23	29335610	1.0
chr7	85695667	85695728	P43699	NKX2-1	6	23	85695697	1.0
chr21	29300314	29300403	P43699	NKX2-1	6	23	29300358	0.9861999998942016
chr8	17675214	17675317	P43699	NKX2-1	6	22	17675265	0.9826279995158316
chr13	95246473	95246515	P43699	NKX2-1	6	22	95246494	0.9709999999769032
chr4	56728641	56728708	P43699	NKX2-1	6	22	56728674	0.9519999997466804
chr2	19141003	19141050	P43699	NKX2-1	6	22	19141026	0.9803999999508262
chr3	191387557	191387626	P43699	NKX2-1	6	22	191387591	0.9888000000156464
chr12	14385236	14385272	P43699	NKX2-1	6	22	14385254	0.9582999997828155
chr18	7872692	7872733	P43699	NKX2-1	6	22	7872712	0.9633580001592636
chr6	144314229	144314310	P43699	NKX2-1	6	22	144314269	0.9504999998945742
chr4	182578589	182578659	P43699	NKX2-1	6	22	182578624	0.9827999997012316
chr4	83357447	83357504	P43699	NKX2-1	6	22	83357475	0.9582720001816748
chr2	54610917	54610970	P43699	NKX2-1	6	22	54610943	0.9876999998897316
chr5	140295548	140295612	P43699	NKX2-1	6	22	140295580	0.9841000001475216
chr1	56688829	56688920	P43699	NKX2-1	6	22	56688874	0.9581999999735504
chr7	94511959	94511999	P43699	NKX2-1	6	22	94511979	0.9828219999875872
chr8	26329964	26330016	P43699	NKX2-1	6	21	26329990	0.9828000000290572
chr10	22682637	22682722	P43699	NKX2-1	6	21	22682679	1.0
chr4	126794455	126794526	P43699	NKX2-1	5	21	126794490	0.9931999999545514
chr17	81395373	81395404	P43699	NKX2-1	6	21	81395388	1.0
chr4	42673211	42673245	P43699	NKX2-1	6	21	42673228	0.9785999997228384
chr6	1348781	1348830	P43699	NKX2-1	6	21	1348805	0.9773000000044704
chr11	27209754	27209859	P43699	NKX2-1	6	21	27209806	0.9859999998293816
chr12	66633870	66633918	P43699	NKX2-1	6	21	66633894	0.9859999995768072
chr7	28581593	28581682	P43699	NKX2-1	5	21	28581637	0.9946000001490116
chr10	114697211	114697279	P43699	NKX2-1	6	21	114697245	0.9788999998867512
chr11	65418911	65418994	P43699	NKX2-1	6	21	65418952	0.9850999997545034
chr8	117989573	117989672	P43699	NKX2-1	5	21	117989622	0.9772999999582768
chr4	10346161	10346227	P43699	NKX2-1	6	21	10346194	0.9938999998569488
chr14	61537689	61537744	P43699	NKX2-1	6	21	61537716	0.985599999935925
chr1	223776311	223776389	P43699	NKX2-1	5	21	223776350	0.988500000089407
chr5	73434063	73434109	P43699	NKX2-1	6	21	73434086	0.9663000000223516
chr12	6371280	6371331	P43699	NKX2-1	6	21	6371305	0.9640999999284744
chr1	229070322	229070391	P43699	NKX2-1	6	21	229070356	0.9810999996699392
chr12	46473800	46473877	P43699	NKX2-1	6	21	46473838	0.9892000003933906
chr10	113297450	113297485	P43699	NKX2-1	6	21	113297467	0.975199999973178
chr2	191041881	191041918	P43699	NKX2-1	6	21	191041899	0.9811999999653548
chr3	186104166	186104201	P43699	NKX2-1	6	21	186104183	0.9787999999418856
chr1	207002883	207002916	P43699	NKX2-1	6	21	207002899	0.9726999999836088
chr6	16766325	16766424	P43699	NKX2-1	6	21	16766374	0.9996999999940396
chr12	93526981	93527018	P43699	NKX2-1	6	21	93526999	0.9676999997567386
chr5	59036472	59036511	P43699	NKX2-1	6	21	59036491	0.9829720000267028
chr20	6666213	6666238	P43699	NKX2-1	6	21	6666225	0.9965000000298024
chr8	27683665	27683707	P43699	NKX2-1	6	21	27683686	0.981300000141561
chr3	157125243	157125269	P43699	NKX2-1	6	20	157125256	0.9949000000536442
chr15	69592098	69592149	P43699	NKX2-1	6	20	69592123	0.9923000001966952
chr2	19911971	19912023	P43699	NKX2-1	6	20	19911997	0.9643999999519438
chr12	12336253	12336284	P43699	NKX2-1	6	20	12336268	0.951499999549985
chr12	48199801	48199855	P43699	NKX2-1	5	20	48199828	0.9897000000089408
chr22	30044618	30044697	P43699	NKX2-1	5	20	30044657	0.9883019999787211
chr7	12715822	12715903	P43699	NKX2-1	6	20	12715862	0.9606999999355524
chr10	110083945	110084014	P43699	NKX2-1	6	20	110083979	0.9547999997727572
chr7	16269098	16269131	P43699	NKX2-1	6	20	16269114	0.9821179997906088
chr7	138752581	138752664	P43699	NKX2-1	5	20	138752622	0.9531999998308718
chr10	29659147	29659198	P43699	NKX2-1	5	20	29659172	0.9641999999325722
chr3	152452513	152452593	P43699	NKX2-1	5	20	152452553	0.9960999999046326
chr13	95530418	95530495	P43699	NKX2-1	5	20	95530456	0.9741999996215104
chr11	68013438	68013487	P43699	NKX2-1	6	20	68013462	0.9867000000052154
chr3	30606387	30606456	P43699	NKX2-1	6	20	30606421	0.9800319998539984
chr1	200150865	200150924	P43699	NKX2-1	6	20	200150894	0.9801399998702108
chr11	130124245	130124315	P43699	NKX2-1	5	20	130124280	1.0
chr19	43765352	43765417	P43699	NKX2-1	6	20	43765384	0.9522499999940396
chr5	112762334	112762379	P43699	NKX2-1	5	20	112762356	0.9550000000216068
chr5	57698976	57699021	P43699	NKX2-1	6	20	57698998	0.9978999999105932
chr1	156926401	156926434	P43699	NKX2-1	6	20	156926417	0.9825000000566244
chr4	40996052	40996101	P43699	NKX2-1	5	20	40996076	0.9714000001769512
chr7	16668214	16668275	P43699	NKX2-1	6	20	16668244	0.9649419996380806
chr14	68137923	68138006	P43699	NKX2-1	6	20	68137964	0.972701999949664
chr2	138422063	138422094	P43699	NKX2-1	6	20	138422078	0.9613999998241664
chr4	71608562	71608599	P43699	NKX2-1	6	20	71608580	0.9908999994799494
chr17	75364263	75364310	P43699	NKX2-1	6	20	75364286	0.978199999857694
chr5	145629283	145629299	P43699	NKX2-1	5	20	145629291	0.9810999999508262
chr11	10659895	10659954	P43699	NKX2-1	6	20	10659924	0.9922000001646578
chr3	15319838	15319894	P43699	NKX2-1	6	20	15319866	0.9673999997809528
chr16	81584093	81584134	P43699	NKX2-1	5	20	81584113	0.9693000000406056
chr3	77825496	77825540	P43699	NKX2-1	6	20	77825518	0.9978000000059604
chr12	32897965	32898026	P43699	NKX2-1	6	20	32897995	0.966600000242889
chr2	33134497	33134543	P43699	NKX2-1	6	20	33134520	0.97269999999851
chr1	181117720	181117762	P43699	NKX2-1	6	20	181117741	0.9607999997664244
chr12	42961540	42961567	P43699	NKX2-1	5	20	42961553	0.9897000000841916
chr2	209426592	209426621	P43699	NKX2-1	6	20	209426606	0.9794000000245868
chr2	10936243	10936294	P43699	NKX2-1	5	20	10936268	0.994899999833107
chr6	53593386	53593414	P43699	NKX2-1	5	20	53593400	0.9738999997265636
chr3	41681599	41681646	P43699	NKX2-1	6	20	41681622	0.9883000001192092
chr17	35809276	35809320	P43699	NKX2-1	6	20	35809298	0.9586340000659228
chr1	16123031	16123052	P43699	NKX2-1	6	20	16123041	0.9857999999672176
chr3	141361117	141361154	P43699	NKX2-1	6	20	141361135	0.973999999962002
chr3	172103891	172103944	P43699	NKX2-1	6	20	172103917	0.9938999999910592
chr5	177389558	177389612	P43699	NKX2-1	6	20	177389585	0.96699999993667
chr8	61707385	61707438	P43699	NKX2-1	6	20	61707411	0.96295200009197
chr2	100875950	100875991	P43699	NKX2-1	6	20	100875970	0.950299999877438
chr7	19405026	19405104	P43699	NKX2-1	6	20	19405065	0.9850999999076128
chr10	12702426	12702461	P43699	NKX2-1	6	20	12702443	0.9680999999299644
chr11	59787126	59787179	P43699	NKX2-1	6	20	59787152	0.9602999997291712
chr11	73464526	73464555	P43699	NKX2-1	6	19	73464540	0.9686999996900558
chr9	1458658	1458693	P43699	NKX2-1	6	19	1458675	1.0
chr12	22975079	22975122	P43699	NKX2-1	6	19	22975100	0.999600000077486
chr1	33433792	33433851	P43699	NKX2-1	5	19	33433821	0.9856000002026558
chr10	120186677	120186700	P43699	NKX2-1	5	19	120186688	0.9818479998800904
chr6	138577588	138577612	P43699	NKX2-1	6	19	138577600	0.953500000180304
chr1	241707213	241707314	P43699	NKX2-1	6	19	241707263	0.9697999997675418
chr6	138555810	138555861	P43699	NKX2-1	5	19	138555835	0.9718000000298024
chr15	59285005	59285064	P43699	NKX2-1	5	19	59285034	0.9760000000230968
chr8	82568891	82568934	P43699	NKX2-1	5	19	82568912	0.9851000000484288
chr13	99046580	99046629	P43699	NKX2-1	5	19	99046604	0.9763000001251696
chr19	21084471	21084530	P43699	NKX2-1	6	19	21084500	0.9581499998200684
chr16	24297572	24297614	P43699	NKX2-1	6	19	24297593	0.9894000001937152
chr17	58417649	58417700	P43699	NKX2-1	6	19	58417674	0.9810000000193716
chr7	23181876	23181899	P43699	NKX2-1	6	19	23181887	0.972768000113964
chr4	185298900	185298957	P43699	NKX2-1	6	19	185298928	0.9537999998807908
chr7	111828298	111828343	P43699	NKX2-1	5	19	111828320	0.9739860000997782
chr4	128475433	128475484	P43699	NKX2-1	6	19	128475458	0.9608000000368804
chr1	234772531	234772578	P43699	NKX2-1	6	19	234772554	0.9803000000938772
chr4	186676695	186676740	P43699	NKX2-1	6	19	186676717	0.9748699997380376
chr7	107995743	107995801	P43699	NKX2-1	6	19	107995772	0.9553000004053116
chr15	69201030	69201071	P43699	NKX2-1	5	19	69201050	0.9790999999698252
chr16	66927259	66927296	P43699	NKX2-1	6	19	66927277	0.9773999999053776
chr11	86511201	86511295	P43699	NKX2-1	5	19	86511248	0.995099999923259
chr12	46210086	46210111	P43699	NKX2-1	6	19	46210098	0.9978000000059604
chr11	10298542	10298580	P43699	NKX2-1	6	19	10298561	0.9692999998614192
chr6	112282496	112282562	P43699	NKX2-1	5	19	112282529	0.9806999999150634
chr6	132334414	132334479	P43699	NKX2-1	5	19	132334446	0.9816000001057984
chr18	30987567	30987672	P43699	NKX2-1	5	19	30987619	0.958769999846816
chr6	5082761	5082798	P43699	NKX2-1	6	19	5082779	1.0
chr10	24347322	24347361	P43699	NKX2-1	6	19	24347341	0.962199999987334
chr4	185268151	185268164	P43699	NKX2-1	6	19	185268157	0.9652000000208616
chr7	75623617	75623665	P43699	NKX2-1	6	19	75623641	0.9604679995656014
chr9	118643322	118643359	P43699	NKX2-1	5	19	118643340	0.9903999999627472
chr7	55086893	55086980	P43699	NKX2-1	5	19	55086936	0.988599999922514
chr2	27010957	27011028	P43699	NKX2-1	5	19	27010992	0.9573320000737906
chr14	68695540	68695661	P43699	NKX2-1	5	19	68695600	0.9712000000730155
chr5	128199289	128199344	P43699	NKX2-1	5	19	128199316	0.9832999999713152
