Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr12	97568809	97568890	Q14541	HNF4G	5	20	97568849	1.0
chr21	36481765	36481802	Q14541	HNF4G	5	18	36481783	0.9763999998249112
chr5	96338787	96338860	Q14541	HNF4G	5	18	96338823	1.0
chr2	179574388	179574437	Q14541	HNF4G	5	18	179574412	1.0
chr3	102671238	102671263	Q14541	HNF4G	5	16	102671250	1.0
chr21	15140676	15140721	Q14541	HNF4G	4	16	15140698	0.990800000075996
chr5	150543101	150543185	Q14541	HNF4G	5	16	150543143	0.9721999999150632
chr2	70514874	70514949	Q14541	HNF4G	5	15	70514911	0.9999000000953674
chr2	186533913	186533962	Q14541	HNF4G	5	15	186533937	0.9886400000855328
chr6	145267272	145267355	Q14541	HNF4G	5	15	145267313	0.9951000001072884
chr20	21564537	21564564	Q14541	HNF4G	5	15	21564550	0.9723999998912216
chr3	157120692	157120721	Q14541	HNF4G	5	15	157120706	0.985560000051558
chr14	95339688	95339743	Q14541	HNF4G	5	15	95339715	0.9558000000700354
chr16	22680861	22680908	Q14541	HNF4G	5	14	22680884	0.992400000011921
chr7	12712442	12712473	Q14541	HNF4G	5	14	12712457	0.9686999999444932
chr6	51737735	51737806	Q14541	HNF4G	5	14	51737770	0.9780999997362494
chr15	45387527	45387624	Q14541	HNF4G	4	14	45387575	0.9699440000340342
chr21	16080100	16080143	Q14541	HNF4G	5	14	16080121	1.0
chr12	19913166	19913239	Q14541	HNF4G	5	14	19913202	0.9816000001341104
chr5	15009606	15009629	Q14541	HNF4G	5	14	15009617	0.9739999999776484
chr12	15629288	15629335	Q14541	HNF4G	5	14	15629311	0.9796999998539686
chr6	142846029	142846070	Q14541	HNF4G	5	14	142846049	0.9972999999284744
chr3	120682283	120682330	Q14541	HNF4G	5	14	120682306	0.9730499999083578
chr3	119795993	119796050	Q14541	HNF4G	4	14	119796021	0.968799999858439
chr4	41077835	41077886	Q14541	HNF4G	5	14	41077860	0.9726999996453524
chr11	111308337	111308378	Q14541	HNF4G	5	14	111308357	0.9769000000685454
chr10	104288562	104288621	Q14541	HNF4G	4	13	104288591	0.9524999995950608
chr12	89632946	89633005	Q14541	HNF4G	5	13	89632975	0.9719000000998378
chr5	74581191	74581260	Q14541	HNF4G	5	13	74581225	0.9639999998874962
chr9	137301037	137301060	Q14541	HNF4G	4	13	137301048	0.981300000025332
chr11	77459489	77459554	Q14541	HNF4G	5	13	77459521	0.9533999999321996
chr6	3913690	3913756	Q14541	HNF4G	5	13	3913723	0.9703999998807908
chr6	167676242	167676291	Q14541	HNF4G	4	13	167676266	0.9874000005543232
chr3	85007400	85007426	Q14541	HNF4G	4	13	85007413	0.9701999998807908
chr12	22044102	22044170	Q14541	HNF4G	4	13	22044136	0.9722000001430512
chr7	130114017	130114089	Q14541	HNF4G	5	13	130114053	0.9533999996963888
chr14	24308004	24308036	Q14541	HNF4G	4	13	24308020	0.9968000000238418
chr10	75733458	75733491	Q14541	HNF4G	5	13	75733474	0.999980000001192
chr8	141228634	141228688	Q14541	HNF4G	4	13	141228661	0.9979999998271464
chr10	3810318	3810377	Q14541	HNF4G	5	13	3810347	0.9785999999940396
chr9	109304530	109304593	Q14541	HNF4G	5	13	109304561	0.9811999997898936
chr4	73275492	73275531	Q14541	HNF4G	5	13	73275511	0.9511079994738102
chr2	112939616	112939678	Q14541	HNF4G	4	13	112939647	0.9658500003181398
chr18	74282706	74282759	Q14541	HNF4G	5	13	74282732	0.9856999999418856
chr2	231050445	231050498	Q14541	HNF4G	4	12	231050471	0.9672779997467996
chr13	94123788	94123818	Q14541	HNF4G	3	12	94123803	0.9971000000357628
chr20	13424051	13424093	Q14541	HNF4G	4	12	13424072	0.985599999947846
chr2	46038408	46038457	Q14541	HNF4G	5	12	46038432	0.9976000000298024
chr12	21351160	21351232	Q14541	HNF4G	4	12	21351196	0.9669000001385808
chr17	38585407	38585440	Q14541	HNF4G	4	12	38585423	0.9761000001948328
chr4	123555611	123555679	Q14541	HNF4G	4	12	123555645	0.9846999999448656
chr5	136094736	136094763	Q14541	HNF4G	4	12	136094749	0.963052000150457
chr11	57503038	57503133	Q14541	HNF4G	5	12	57503085	0.9503999994844198
chr1	56414916	56414944	Q14541	HNF4G	4	12	56414930	0.9934000000298024
chr2	179272569	179272614	Q14541	HNF4G	5	12	179272591	0.9936000000834464
chr11	72778109	72778152	Q14541	HNF4G	4	12	72778130	0.9971000001996756
chr1	19436900	19436928	Q14541	HNF4G	4	12	19436914	0.976903999940306
chr6	108764088	108764134	Q14541	HNF4G	4	12	108764111	0.9850999998472632
chr3	186612858	186612900	Q14541	HNF4G	4	12	186612879	0.9701999996311964
chr1	93585359	93585398	Q14541	HNF4G	4	12	93585378	0.9825999998390674
chr11	59611981	59612017	Q14541	HNF4G	4	12	59611999	0.9935999999016524
