Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr7	98137752	98137829	Q99684	GFI1	3	14	98137790	0.9873999999031424
chr13	76882567	76882667	Q99684	GFI1	3	13	76882617	1.0
chr14	60862489	60862540	Q99684	GFI1	3	12	60862514	0.9524000000208616
chr1	203702201	203702218	Q99684	GFI1	3	12	203702209	0.9891000000476836
chr3	152229815	152229902	Q99684	GFI1	3	12	152229858	0.9705999998778104
chr11	66344860	66344959	Q99684	GFI1	3	12	66344909	0.980143999877572
chr2	71451492	71451599	Q99684	GFI1	3	12	71451545	0.9827999999836088
chr14	92600624	92600679	Q99684	GFI1	3	12	92600651	0.999600000077486
chr7	145910046	145910093	Q99684	GFI1	3	12	145910069	0.9814999998167158
chr14	93989974	93990069	Q99684	GFI1	3	12	93990021	0.9827999999076128
chr14	66038848	66038899	Q99684	GFI1	3	12	66038873	0.9764000000342726
chr4	185597741	185597776	Q99684	GFI1	3	12	185597758	0.963400000026822
chr13	27770954	27771023	Q99684	GFI1	3	12	27770988	0.988400000026822
chr6	149852247	149852348	Q99684	GFI1	3	12	149852297	0.9805399998366832
chr15	38130873	38130906	Q99684	GFI1	3	12	38130889	0.9827959999576212
chr17	40326400	40326453	Q99684	GFI1	3	12	40326426	0.9699000002004208
chr14	68742001	68742034	Q99684	GFI1	3	12	68742017	0.972900000153482
chr15	74322579	74322646	Q99684	GFI1	3	12	74322612	0.9718619996219874
chr20	6829014	6829091	Q99684	GFI1	3	12	6829052	1.0
chr3	143348947	143349048	Q99684	GFI1	3	12	143348997	0.9888999998092652
chr7	93232438	93232469	Q99684	GFI1	3	12	93232453	0.9835999999895692
chr18	58122051	58122106	Q99684	GFI1	3	12	58122078	0.9639000001527368
chr7	128949185	128949228	Q99684	GFI1	3	12	128949206	0.99009999987334
chr7	17030737	17030782	Q99684	GFI1	3	12	17030759	0.9844999999381602
chr1	156097194	156097267	Q99684	GFI1	3	12	156097230	0.9540999997779728
chr1	93449230	93449259	Q99684	GFI1	3	12	93449244	0.9961999999463558
chr14	26917283	26917332	Q99684	GFI1	3	12	26917307	0.9867000001594424
chr14	23929908	23929929	Q99684	GFI1	3	12	23929918	0.9901999999344347
chr12	92363871	92363914	Q99684	GFI1	3	12	92363892	0.9961000000953676
chr19	15629415	15629466	Q99684	GFI1	3	12	15629440	0.972244000029564
chr19	34270129	34270199	Q99684	GFI1	3	12	34270164	0.9505000001035632
chr17	34200173	34200254	Q99684	GFI1	3	12	34200213	1.0
chr3	52498934	52498995	Q99684	GFI1	3	12	52498964	0.967500000075996
chr2	96533935	96533962	Q99684	GFI1	3	12	96533948	1.0
chr9	126394640	126394703	Q99684	GFI1	3	12	126394671	0.9863999999612568
chr11	128860049	128860088	Q99684	GFI1	3	12	128860068	0.9939000000566244
chr8	1974876	1974923	Q99684	GFI1	3	12	1974899	0.9686999996945262
chr20	50929324	50929350	Q99684	GFI1	3	12	50929337	0.9967000000715256
chr16	84511385	84511436	Q99684	GFI1	3	12	84511410	0.9696999994117766
chr13	98840319	98840352	Q99684	GFI1	3	12	98840335	0.9758999999001622
chr1	39107134	39107173	Q99684	GFI1	3	12	39107153	0.9654120002008976
chr15	51801605	51801660	Q99684	GFI1	3	11	51801632	0.9636000001072884
chr5	173894253	173894264	Q99684	GFI1	3	11	173894258	0.9846000002134592
chr1	245860735	245860790	Q99684	GFI1	3	11	245860762	1.0
chr7	77754765	77754816	Q99684	GFI1	3	11	77754790	0.9818000001013278
chr7	26388484	26388519	Q99684	GFI1	3	11	26388501	0.9938999998539686
chr19	1068275	1068306	Q99684	GFI1	3	11	1068290	0.974599999973923
chr14	70359628	70359650	Q99684	GFI1	3	11	70359639	0.9792999999687076
chr5	173616120	173616175	Q99684	GFI1	3	11	173616147	0.9631000000223516
chr1	163198643	163198710	Q99684	GFI1	3	11	163198676	0.9962999996840952
chr5	173294135	173294222	Q99684	GFI1	3	11	173294178	0.9656999999634922
chr7	26665157	26665196	Q99684	GFI1	3	11	26665176	0.98489999987185
chr16	4680005	4680086	Q99684	GFI1	3	11	4680045	0.998400000011921
chr15	96327475	96327518	Q99684	GFI1	3	11	96327496	1.0
chr2	149040524	149040593	Q99684	GFI1	3	11	149040558	0.9814439998611808
chr3	171830075	171830098	Q99684	GFI1	3	11	171830086	0.976300000075996
chr21	38170429	38170472	Q99684	GFI1	3	11	38170450	0.9831999999068678
chr1	204647679	204647710	Q99684	GFI1	3	11	204647694	0.9961000000953676
chr2	176597768	176597811	Q99684	GFI1	3	11	176597789	0.999399999976158
chr1	85279102	85279167	Q99684	GFI1	3	11	85279134	0.9574000002563
chr14	54746912	54746981	Q99684	GFI1	3	11	54746946	0.99249999999851
chr20	1777428	1777497	Q99684	GFI1	3	11	1777462	0.9746999998629092
chr20	57323322	57323393	Q99684	GFI1	3	11	57323357	0.9524000000603496
chr12	15270530	15270595	Q99684	GFI1	3	11	15270562	0.9727999999627472
chr10	127889961	127890030	Q99684	GFI1	3	11	127889995	0.9835999999310822
chr3	172140615	172140654	Q99684	GFI1	3	11	172140634	0.9795999999172984
chr2	143402662	143402753	Q99684	GFI1	3	11	143402707	1.0
chr8	117881753	117881807	Q99684	GFI1	3	11	117881780	0.961799999918416
chr2	47073280	47073371	Q99684	GFI1	3	11	47073325	0.9966999999940396
chr11	43931093	43931188	Q99684	GFI1	3	11	43931140	0.9868999998383224
chr2	173264819	173264870	Q99684	GFI1	3	11	173264844	0.9823999999560415
chr8	22704872	22704949	Q99684	GFI1	3	11	22704910	0.9637019995670766
chr3	138322401	138322424	Q99684	GFI1	3	11	138322412	0.9788999997645615
chr1	162928139	162928208	Q99684	GFI1	3	11	162928173	0.9993000000536442
chr1	161707240	161707311	Q99684	GFI1	3	11	161707275	0.9773999998897314
chr9	93627955	93628042	Q99684	GFI1	3	11	93627998	0.9745000001579524
chr20	59005321	59005404	Q99684	GFI1	3	11	59005362	0.9895720000009984
