Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr1	212608661	212608734	P18847	ATF3	17	65	212608697	1.0
chr8	125091805	125091834	P18847	ATF3	18	59	125091819	0.979600000089407
chr2	177164765	177164794	P18847	ATF3	18	57	177164779	0.9642000000730157
chr20	23361955	23361992	P18847	ATF3	19	57	23361973	0.9863999998599292
chr12	57520728	57520795	P18847	ATF3	16	56	57520761	0.9839999999299646
chr9	97922249	97922276	P18847	ATF3	18	55	97922262	0.9598000000551344
chr4	1043809	1043841	P18847	ATF3	17	53	1043825	0.9840199998021126
chr17	35587232	35587263	P18847	ATF3	16	53	35587247	0.9536999999545516
chr6	36667229	36667260	P18847	ATF3	18	53	36667244	0.978299999947846
chr12	132144377	132144411	P18847	ATF3	16	52	132144394	0.953249999988824
chr16	88706451	88706486	P18847	ATF3	15	51	88706468	0.9792999999172984
chr11	43920894	43920957	P18847	ATF3	13	51	43920925	1.0
chr3	16264981	16265023	P18847	ATF3	16	50	16265002	0.9857000001054256
chr3	128879473	128879509	P18847	ATF3	15	50	128879491	0.9659999995186924
chr6	26596906	26596955	P18847	ATF3	17	49	26596930	0.9855179998658598
chr20	19628784	19628811	P18847	ATF3	16	49	19628797	0.9620999998148532
chr2	8598473	8598498	P18847	ATF3	15	49	8598485	0.9869999998897314
chr6	106325799	106325822	P18847	ATF3	16	49	106325810	0.95219999967739
chr4	103019666	103019717	P18847	ATF3	17	48	103019691	0.9898000000670552
chr4	158672241	158672272	P18847	ATF3	18	48	158672256	0.9627999999709428
chr10	84139480	84139517	P18847	ATF3	18	47	84139498	0.9758999998483808
chr17	42677169	42677214	P18847	ATF3	16	47	42677191	0.97889999993518
chr15	56040677	56040703	P18847	ATF3	16	47	56040690	0.9964999998271464
chr13	110870415	110870469	P18847	ATF3	14	47	110870442	0.988699999460578
chr11	60842035	60842066	P18847	ATF3	17	46	60842050	0.9632000002935528
chr19	29606241	29606272	P18847	ATF3	19	46	29606256	0.9517000000834464
chr2	65436560	65436615	P18847	ATF3	15	46	65436587	0.9507999999150634
chr3	172130092	172130114	P18847	ATF3	16	46	172130103	0.9853000001773238
chr7	99408867	99408898	P18847	ATF3	18	46	99408882	0.953971999964118
chr11	67428432	67428455	P18847	ATF3	18	46	67428443	0.958599999915436
chr12	116819411	116819494	P18847	ATF3	15	46	116819452	0.9784999998778104
chr7	4775585	4775606	P18847	ATF3	15	45	4775595	0.9534979999043048
chr17	27353807	27353846	P18847	ATF3	17	45	27353826	0.9622999998942018
chr3	194089810	194089854	P18847	ATF3	16	45	194089832	0.9580179998598992
chr22	26483834	26483865	P18847	ATF3	14	45	26483849	0.9879800000220538
chr5	145681825	145681855	P18847	ATF3	15	45	145681840	0.99160000000149
chr1	201896111	201896136	P18847	ATF3	16	45	201896123	0.9969999999165536
chr1	228109293	228109346	P18847	ATF3	16	45	228109319	0.967299999767542
chr4	42302595	42302616	P18847	ATF3	16	45	42302605	0.9747999999344348
chr5	15008687	15008708	P18847	ATF3	16	44	15008697	0.9739999999776484
chr5	173616713	173616772	P18847	ATF3	15	44	173616742	0.9631000000223516
chr1	151311747	151311789	P18847	ATF3	13	44	151311768	0.9791999998770654
chr16	86555217	86555242	P18847	ATF3	14	44	86555229	0.9614999997437
chr1	154558805	154558870	P18847	ATF3	16	44	154558837	0.9640300000965596
chr12	10613587	10613611	P18847	ATF3	16	44	10613599	0.98159999961555
chr10	112183770	112183791	P18847	ATF3	14	44	112183780	0.9897999999523164
chr3	44236098	44236129	P18847	ATF3	14	44	44236113	0.958055999937281
chr5	57693264	57693287	P18847	ATF3	14	44	57693275	0.9927000000923872
chr7	23181953	23182009	P18847	ATF3	16	44	23181981	0.975100000115484
chr3	119463636	119463663	P18847	ATF3	16	43	119463649	0.9730699999786914
chr2	20579404	20579455	P18847	ATF3	15	43	20579429	0.9708000000458212
chr11	9566133	9566185	P18847	ATF3	12	43	9566159	0.9612939999461174
chr9	127965653	127965676	P18847	ATF3	16	43	127965664	0.9754000001780688
chr16	48610262	48610307	P18847	ATF3	16	43	48610284	0.9684000001579524
chr10	79157697	79157726	P18847	ATF3	15	43	79157711	1.0
chr16	89700315	89700344	P18847	ATF3	17	43	89700329	0.9541999999199062
chr3	72270186	72270209	P18847	ATF3	15	43	72270197	0.97420000000149
chr4	8440750	8440793	P18847	ATF3	14	43	8440771	0.9660000000402332
chr3	180989730	180989764	P18847	ATF3	15	43	180989747	0.9644999998688698
chr11	36289427	36289468	P18847	ATF3	16	42	36289447	0.9646999998256564
chr4	113762723	113762756	P18847	ATF3	15	42	113762739	0.9965999999552964
chr19	12945735	12945810	P18847	ATF3	13	42	12945772	0.9510000001419336
chr8	100667659	100667684	P18847	ATF3	15	42	100667671	0.9637520002890378
chr2	100291278	100291310	P18847	ATF3	13	42	100291294	0.9863999998837708
chr5	179819092	179819123	P18847	ATF3	15	42	179819107	0.9758999997608364
chr4	138242414	138242440	P18847	ATF3	15	42	138242427	0.9744000001475216
chr11	118359549	118359579	P18847	ATF3	16	42	118359564	0.9555099997006355
chr9	137188594	137188617	P18847	ATF3	14	42	137188605	0.9989999997854232
chr6	8085213	8085233	P18847	ATF3	14	42	8085223	0.9721000001430512
chr2	88600289	88600314	P18847	ATF3	15	42	88600301	0.9859000001356004
chr2	197499991	197500027	P18847	ATF3	16	42	197500009	0.967599999883771
chr3	8963469	8963504	P18847	ATF3	17	42	8963486	0.9962999999523164
chr14	94599334	94599359	P18847	ATF3	14	42	94599346	0.9577999998658896
chr3	105647221	105647240	P18847	ATF3	14	41	105647230	0.9795699995592236
chr3	45842162	45842193	P18847	ATF3	14	41	45842177	0.9851999998532236
chr1	204412016	204412054	P18847	ATF3	14	41	204412035	0.9631999999973924
chr1	209827930	209827965	P18847	ATF3	13	41	209827947	0.979899999807775
chr2	88691535	88691577	P18847	ATF3	14	41	88691556	0.974299999985844
chr20	34112240	34112308	P18847	ATF3	16	41	34112274	0.9555000000797212
chr1	70205624	70205667	P18847	ATF3	13	41	70205645	0.979099999883026
chr2	64831490	64831525	P18847	ATF3	15	41	64831507	0.981200000026822
chr1	212559061	212559098	P18847	ATF3	15	41	212559079	0.9608000000588596
chr16	4847371	4847412	P18847	ATF3	12	41	4847391	0.9718999998893588
chr4	94207595	94207623	P18847	ATF3	14	41	94207609	0.9562640007380396
chr9	113221300	113221367	P18847	ATF3	16	40	113221333	0.9652999995231628
chr1	40161291	40161310	P18847	ATF3	14	40	40161300	0.95280000006482
chr19	13880365	13880424	P18847	ATF3	15	40	13880394	0.9540000000037252
chr4	73069803	73069834	P18847	ATF3	15	40	73069818	0.9922999999284744
chr4	150302686	150302731	P18847	ATF3	12	40	150302708	0.9918999999389052
chr1	114716790	114716813	P18847	ATF3	13	40	114716801	0.9807920000966638
chr22	37561922	37561947	P18847	ATF3	14	40	37561934	0.9634000001244248
chr6	37820476	37820499	P18847	ATF3	14	40	37820487	0.957299999880418
chr3	52410025	52410050	P18847	ATF3	12	40	52410037	0.9840999999806284
chr1	1000886	1000919	P18847	ATF3	15	40	1000902	0.9572000001147388
chr11	86740788	86740813	P18847	ATF3	13	40	86740800	0.9849999999053776
chr11	126268952	126269047	P18847	ATF3	11	40	126268999	0.9892999999925496
chr19	2783336	2783412	P18847	ATF3	17	40	2783374	0.9640000002890824
chr4	121711735	121711761	P18847	ATF3	14	40	121711748	0.9884000000923872
chr1	36386629	36386650	P18847	ATF3	16	40	36386639	0.973899999848008
chr11	64566740	64566765	P18847	ATF3	14	40	64566752	0.985599999949336
chr2	68467499	68467541	P18847	ATF3	13	40	68467520	0.9797919999837876
chr15	58332333	58332360	P18847	ATF3	15	40	58332346	0.9978000000357627
chr10	45594910	45594933	P18847	ATF3	12	40	45594921	0.9522000000216068
chr2	44087383	44087412	P18847	ATF3	15	40	44087397	0.9759999998286366
chr1	6784559	6784592	P18847	ATF3	15	40	6784575	0.9728999998904764
chr1	35641544	35641569	P18847	ATF3	14	39	35641556	0.9524999997552483
chr19	35545570	35545595	P18847	ATF3	14	39	35545582	0.9979999998629092
chr1	219089155	219089188	P18847	ATF3	14	39	219089171	0.997300000178814
chr2	110205022	110205043	P18847	ATF3	13	39	110205032	0.9615999998927116
chr3	128726065	128726100	P18847	ATF3	14	39	128726082	0.9552999998677522
chr17	74873368	74873395	P18847	ATF3	17	39	74873381	0.9604999998904764
chr1	36464428	36464451	P18847	ATF3	14	39	36464439	0.9665000000581144
chr5	160009057	160009095	P18847	ATF3	14	39	160009076	0.9587959999129176
chr14	61553097	61553123	P18847	ATF3	14	39	61553110	0.9838999999329447
chr2	96557058	96557123	P18847	ATF3	13	39	96557090	0.9501999996401368
chr2	237085845	237085884	P18847	ATF3	14	39	237085864	0.9735999997571112
chr16	47461085	47461166	P18847	ATF3	11	39	47461125	0.982399999590218
chr16	87853743	87853765	P18847	ATF3	14	39	87853754	0.9540439998313784
chr17	39927633	39927656	P18847	ATF3	14	39	39927644	0.9712000002399088
chr7	55366298	55366341	P18847	ATF3	15	39	55366319	0.9996000000834464
chr2	11744200	11744259	P18847	ATF3	12	39	11744229	0.9968999999761582
chr5	113199682	113199705	P18847	ATF3	12	39	113199693	0.9702000001527368
chr17	7836861	7836884	P18847	ATF3	15	39	7836872	0.993899999895692
chr3	158802024	158802059	P18847	ATF3	16	39	158802041	0.9812999999739228
chr19	7522583	7522614	P18847	ATF3	15	39	7522598	0.972499999909103
chr9	129607608	129607626	P18847	ATF3	15	39	129607617	0.9611999999698252
chr4	163166930	163166964	P18847	ATF3	15	39	163166947	0.990799999878183
chr4	38667291	38667314	P18847	ATF3	14	39	38667302	0.9859999999895692
chr15	62119577	62119609	P18847	ATF3	12	39	62119593	0.958399999986589
chr1	228103351	228103380	P18847	ATF3	14	39	228103365	0.9909999999880792
chr16	67227099	67227120	P18847	ATF3	14	39	67227109	0.9764299999713898
chr17	81937363	81937410	P18847	ATF3	17	39	81937386	0.9655000001035632
