Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr6	537247	537317	Q9UBB5	MBD2	4	15	537282	0.9895000000059604
chr13	112818244	112818315	Q9UBB5	MBD2	4	15	112818279	0.987800000232458
chr18	79652683	79652706	Q9UBB5	MBD2	4	14	79652694	0.9606000001236796
chr13	113638319	113638374	Q9UBB5	MBD2	5	12	113638346	0.9642520000379532
chr11	69542636	69542753	Q9UBB5	MBD2	4	10	69542694	0.9850000000201166
chr17	80727152	80727202	Q9UBB5	MBD2	4	10	80727177	0.9824000000730156
chr15	89088167	89088257	Q9UBB5	MBD2	2	10	89088212	0.982499999960512
chr5	1494947	1494972	Q9UBB5	MBD2	4	10	1494959	0.9843999997343869
chr1	2180474	2180548	Q9UBB5	MBD2	5	10	2180511	0.9884999998882412
chr21	45109181	45109242	Q9UBB5	MBD2	4	10	45109211	0.9639999999325722
chr3	195887866	195887887	Q9UBB5	MBD2	4	9	195887876	0.9637000000026076
chr4	905549	905639	Q9UBB5	MBD2	4	9	905594	0.9580999999724328
chr1	162367324	162367350	Q9UBB5	MBD2	3	9	162367337	0.9975000000178814
chr2	152717433	152717488	Q9UBB5	MBD2	2	9	152717460	0.9976000001728534
chr6	26027267	26027333	Q9UBB5	MBD2	2	9	26027300	0.9878000001147388
chr15	97960476	97960494	Q9UBB5	MBD2	2	9	97960485	0.9895000000312923
chr2	88627581	88627662	Q9UBB5	MBD2	2	9	88627621	0.982999999875948
chr4	122379377	122379418	Q9UBB5	MBD2	3	9	122379397	0.97119999999851
chr19	45406545	45406583	Q9UBB5	MBD2	2	8	45406564	0.9598580000385644
chr2	71227175	71227193	Q9UBB5	MBD2	2	8	71227184	0.9745999994710088
chr15	89334930	89334951	Q9UBB5	MBD2	2	8	89334940	0.9934999999642372
chr12	752389	752415	Q9UBB5	MBD2	2	8	752402	0.9787659998785704
chr3	25664978	25664991	Q9UBB5	MBD2	2	8	25664984	0.970299999884516
chr20	833684	833705	Q9UBB5	MBD2	2	8	833694	0.973553999516368
chr11	126063179	126063193	Q9UBB5	MBD2	2	8	126063186	0.9671999999657274
chr20	33401540	33401565	Q9UBB5	MBD2	3	8	33401552	0.9509779998298734
chr8	67062192	67062246	Q9UBB5	MBD2	2	8	67062219	0.988599999922514
chr4	2418860	2418906	Q9UBB5	MBD2	2	8	2418883	0.9900999998867512
chr20	543927	543976	Q9UBB5	MBD2	2	8	543951	0.9634000000871716
chr17	35809344	35809370	Q9UBB5	MBD2	2	8	35809357	0.9575080001145602
chr8	70402169	70402198	Q9UBB5	MBD2	2	8	70402183	0.9961000000238418
chr7	1540150	1540205	Q9UBB5	MBD2	3	8	1540177	0.9954999998509884
chr11	106022471	106022520	Q9UBB5	MBD2	2	8	106022495	0.9919999998927116
chr14	105491052	105491138	Q9UBB5	MBD2	2	8	105491095	0.9963000000625848
chr16	3401092	3401117	Q9UBB5	MBD2	2	8	3401104	0.9596999997869134
chr12	6852454	6852476	Q9UBB5	MBD2	2	8	6852465	0.9923000002920628
chr16	81007051	81007152	Q9UBB5	MBD2	2	8	81007101	0.9785999997727572
chr16	88807381	88807414	Q9UBB5	MBD2	3	8	88807397	0.96199999990575
chr13	52012286	52012331	Q9UBB5	MBD2	2	8	52012308	0.9720699999261648
chr6	26123041	26123054	Q9UBB5	MBD2	2	8	26123047	0.9798000002637506
chr15	75451947	75451961	Q9UBB5	MBD2	2	8	75451954	0.985699999821186
chr8	25458499	25458540	Q9UBB5	MBD2	2	8	25458519	0.9733559999510646
chr8	27593386	27593419	Q9UBB5	MBD2	4	8	27593402	0.9675999998688698
chr6	26031974	26032081	Q9UBB5	MBD2	2	8	26032027	0.9861099999859928
chr10	102245422	102245488	Q9UBB5	MBD2	2	8	102245455	0.9569000000882892
chr3	48662921	48662958	Q9UBB5	MBD2	2	8	48662939	0.9583400001689792
chr2	8681937	8682002	Q9UBB5	MBD2	2	8	8681969	0.9736999998554589
chr17	49764241	49764267	Q9UBB5	MBD2	2	8	49764254	0.9863899999588728
chr15	68820956	68820982	Q9UBB5	MBD2	2	8	68820969	0.9689999998420477
chr2	10638313	10638327	Q9UBB5	MBD2	4	8	10638320	0.96090000038445
chr6	37819344	37819405	Q9UBB5	MBD2	2	8	37819374	0.984499999813363
chr1	11478975	11479013	Q9UBB5	MBD2	2	8	11478994	1.0
chr8	1823865	1823879	Q9UBB5	MBD2	2	8	1823872	0.9551999995425344
chr16	84657667	84657722	Q9UBB5	MBD2	4	8	84657694	0.9594000001758336
chr9	129081032	129081053	Q9UBB5	MBD2	2	8	129081042	0.971699999833107
chr19	49641965	49642074	Q9UBB5	MBD2	2	8	49642019	0.975299999928102
chr15	64163136	64163162	Q9UBB5	MBD2	2	8	64163149	0.9603999997794628
chr12	52069846	52069876	Q9UBB5	MBD2	2	8	52069861	0.9515999998822808
