Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr1	23562437	23562466	Q13485	SMAD4	12	39	23562451	0.9619000001206994
chr6	112337350	112337375	Q13485	SMAD4	12	38	112337362	0.9573999998867512
chr2	237085794	237085839	Q13485	SMAD4	12	36	237085816	0.9735999997571112
chr6	19804783	19804840	Q13485	SMAD4	12	35	19804811	0.978399999666214
chr13	93224682	93224743	Q13485	SMAD4	12	35	93224712	0.9761999998193234
chr3	177359993	177360042	Q13485	SMAD4	11	33	177360017	0.9581000001560896
chr16	30658013	30658048	Q13485	SMAD4	12	32	30658030	0.9828999999299646
chr18	48952195	48952226	Q13485	SMAD4	11	32	48952210	0.9825000000320376
chr2	86808522	86808551	Q13485	SMAD4	11	32	86808536	0.9600999999530614
chr7	156764229	156764259	Q13485	SMAD4	11	32	156764244	0.9804999999403954
chr2	8678882	8678937	Q13485	SMAD4	11	31	8678909	0.9949799999296666
chr21	45478242	45478282	Q13485	SMAD4	11	30	45478262	1.0
chr20	54123944	54123985	Q13485	SMAD4	11	29	54123964	0.9811999997586012
chr7	33895478	33895503	Q13485	SMAD4	9	29	33895490	0.9903999998763204
chr15	66702206	66702248	Q13485	SMAD4	11	29	66702227	0.9928999999374152
chr12	50075350	50075373	Q13485	SMAD4	9	28	50075361	0.96360000006482
chr2	127408098	127408135	Q13485	SMAD4	12	27	127408116	0.9886999999031424
chr17	40345165	40345196	Q13485	SMAD4	10	26	40345180	1.0
chr12	62123874	62123897	Q13485	SMAD4	9	26	62123885	0.991699999895692
chr14	99274811	99274890	Q13485	SMAD4	10	26	99274850	1.0
chr3	4986960	4987038	Q13485	SMAD4	10	26	4986999	0.9806999997243284
chr22	39174938	39175008	Q13485	SMAD4	12	26	39174973	0.9815999999500812
chr8	125430199	125430264	Q13485	SMAD4	10	25	125430231	0.9769000000424684
chr3	125375341	125375366	Q13485	SMAD4	10	25	125375353	0.9578999996956438
chr2	20567622	20567639	Q13485	SMAD4	9	25	20567630	0.978100000006333
chr4	123600206	123600236	Q13485	SMAD4	7	25	123600221	0.966349999762699
chr1	61453284	61453321	Q13485	SMAD4	11	25	61453302	1.0
chr1	147172628	147172671	Q13485	SMAD4	12	25	147172649	0.9872999998122454
chr14	35404062	35404111	Q13485	SMAD4	10	24	35404086	0.9629000000156462
chr15	92904226	92904265	Q13485	SMAD4	10	24	92904245	0.9975999999523164
chr8	102655690	102655733	Q13485	SMAD4	12	24	102655711	0.9662559999473394
chr21	43343316	43343359	Q13485	SMAD4	10	24	43343337	1.0
chr1	29249357	29249406	Q13485	SMAD4	8	24	29249381	0.9885
chr19	51689988	51690055	Q13485	SMAD4	11	24	51690021	0.9968999999821186
chr5	74640667	74640733	Q13485	SMAD4	10	23	74640700	0.9928000000461936
chr16	50468155	50468206	Q13485	SMAD4	8	23	50468180	0.999799999898672
chr4	123505791	123505852	Q13485	SMAD4	8	23	123505821	0.9503999996054916
chr2	55419923	55419978	Q13485	SMAD4	11	23	55419950	0.9919999996542932
chr12	115508112	115508191	Q13485	SMAD4	8	22	115508151	0.9963999998569488
chr1	12604563	12604590	Q13485	SMAD4	9	22	12604576	0.9643999998696148
chr7	35695084	35695131	Q13485	SMAD4	9	22	35695107	0.955499999609962
chr17	48733149	48733190	Q13485	SMAD4	9	22	48733169	0.975700000283122
chr4	105898404	105898465	Q13485	SMAD4	7	22	105898434	0.9955
chr5	65035623	65035694	Q13485	SMAD4	11	22	65035658	0.9814399999246
chr7	120857757	120857815	Q13485	SMAD4	9	22	120857786	0.9760999998748302
chr1	58881677	58881711	Q13485	SMAD4	7	22	58881694	0.993599999988079
chr1	153946700	153946757	Q13485	SMAD4	9	22	153946728	0.9847000000879168
chr3	170357319	170357382	Q13485	SMAD4	10	21	170357350	0.9871939998708664
chr17	17823883	17823922	Q13485	SMAD4	9	21	17823902	0.9860000000342728
chr10	124036022	124036129	Q13485	SMAD4	7	21	124036075	0.9830999999448656
chr15	90874289	90874317	Q13485	SMAD4	7	21	90874303	0.9953999997854232
chr1	23554888	23554939	Q13485	SMAD4	9	21	23554913	0.9757999999396504
chr3	195033603	195033651	Q13485	SMAD4	8	21	195033627	0.9816499999202788
chr15	69594784	69594827	Q13485	SMAD4	7	21	69594805	0.9947999999403954
chr15	40098906	40098985	Q13485	SMAD4	8	21	40098945	0.9792999998480082
chr13	40504224	40504284	Q13485	SMAD4	6	21	40504254	0.9713999999150634
chr17	7841661	7841689	Q13485	SMAD4	9	21	7841675	1.0
chr1	8703389	8703441	Q13485	SMAD4	9	21	8703415	0.9775999998629094
chr6	125301613	125301696	Q13485	SMAD4	9	21	125301654	0.992699999886006
chr6	131951303	131951354	Q13485	SMAD4	8	20	131951328	1.0
chr17	7836963	7837000	Q13485	SMAD4	8	20	7836981	0.993899999895692
chr2	208025565	208025595	Q13485	SMAD4	8	20	208025580	0.9513999995928256
chr1	225945690	225945744	Q13485	SMAD4	5	20	225945717	0.9503999997165056
chr21	46661388	46661430	Q13485	SMAD4	6	20	46661409	0.997260000050068
chr5	72848127	72848154	Q13485	SMAD4	9	20	72848140	0.9884000001072883
chr19	55259221	55259290	Q13485	SMAD4	10	20	55259255	0.9718099999412896
chr2	63827974	63828033	Q13485	SMAD4	9	20	63828003	0.98845199996233
chr14	90396996	90397053	Q13485	SMAD4	7	20	90397024	0.9645080001011492
chr7	150383945	150383961	Q13485	SMAD4	9	20	150383953	0.978899999845028
chr8	104589246	104589361	Q13485	SMAD4	9	20	104589303	0.9834999998271464
chr20	54194960	54195024	Q13485	SMAD4	7	20	54194992	0.9794000000908972
chr12	120230758	120230833	Q13485	SMAD4	8	20	120230795	0.9929999998271464
chr4	110614376	110614407	Q13485	SMAD4	6	20	110614391	0.9996999999880792
chr10	102777141	102777199	Q13485	SMAD4	7	20	102777170	0.9669200001437216
chr10	92291021	92291054	Q13485	SMAD4	9	20	92291037	0.9564739997878672
chr6	142846027	142846112	Q13485	SMAD4	7	20	142846069	0.9972999999284744
chr6	70667793	70667866	Q13485	SMAD4	8	20	70667829	0.9807999998807908
chr16	50547631	50547677	Q13485	SMAD4	6	20	50547654	0.9964999999821186
chr10	70132900	70132941	Q13485	SMAD4	8	20	70132920	0.9729999996632338
chr16	85291705	85291784	Q13485	SMAD4	4	20	85291744	0.9686999994724989
chr11	65499026	65499091	Q13485	SMAD4	10	20	65499058	0.96730000006482
chr6	30717603	30717657	Q13485	SMAD4	9	20	30717630	0.9604999998752028
chr10	63466059	63466100	Q13485	SMAD4	8	20	63466079	0.9982999998509884
