Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr4	185396452	185396490	P27540	ARNT	14	31	185396471	0.9845999998673796
chr6	87155527	87155555	P27540	ARNT	12	31	87155541	0.982799999986589
chr16	30065508	30065541	P27540	ARNT	11	30	30065524	0.9517999999187888
chr15	72226854	72226920	P27540	ARNT	10	30	72226887	0.955100000101328
chr3	4987040	4987107	P27540	ARNT	13	29	4987073	0.9806999997243284
chr22	30424108	30424167	P27540	ARNT	11	28	30424137	0.9806000001460312
chr8	133375655	133375738	P27540	ARNT	8	26	133375696	0.9850999998003244
chr14	33938483	33938538	P27540	ARNT	11	26	33938510	0.9682999999031424
chr11	18394464	18394513	P27540	ARNT	10	25	18394488	0.967439999863878
chr17	40312489	40312554	P27540	ARNT	6	25	40312521	0.9970000000089408
chr5	14036060	14036151	P27540	ARNT	7	25	14036105	0.9847099998191
chr2	136246351	136246458	P27540	ARNT	7	25	136246404	0.9727999998949468
chr2	135985012	135985073	P27540	ARNT	11	25	135985042	0.9663999998096376
chr4	119300695	119300760	P27540	ARNT	8	25	119300727	0.9806999998435378
chr8	28365936	28365993	P27540	ARNT	7	25	28365964	0.9702999996960164
chr1	40161364	40161415	P27540	ARNT	8	24	40161389	0.9519880000643433
chr3	39152798	39152845	P27540	ARNT	10	24	39152821	0.9806000000156462
chr3	48557246	48557293	P27540	ARNT	7	24	48557269	0.9738000001236796
chr10	25062603	25062692	P27540	ARNT	9	23	25062647	0.962999999826774
chr8	133216693	133216768	P27540	ARNT	8	23	133216730	0.9874000000044704
chr17	82231084	82231151	P27540	ARNT	8	23	82231117	0.9767999999642372
chr9	35657906	35657969	P27540	ARNT	9	23	35657937	0.9630999998729676
chr8	22598179	22598250	P27540	ARNT	8	23	22598214	0.9966999998688698
chr14	23301478	23301521	P27540	ARNT	9	22	23301499	0.9717000000327826
chr6	43668279	43668332	P27540	ARNT	7	21	43668305	0.9708999999076128
chr5	68434271	68434304	P27540	ARNT	8	21	68434287	0.9853999999023972
chr9	16247377	16247480	P27540	ARNT	5	21	16247428	0.9999000000953674
chr1	234612811	234612902	P27540	ARNT	9	21	234612856	0.982599999719858
